omega_c	mmH1	mmH2	mmH3	mmA0	mmHch	lam1	lam7	m11	aDM	WH1	WH2
1.2222709726008950E-05	1.2509000000000000E+02	1.5682972914542060E+02	8.2646299776456465E+02	8.2754380231143159E+02	1.6466423890537781E+03	7.4590860354523576E+00	1.1629386387918789E+01	1.4119223068058128E+01	-9.3186517960477933E-01	1.9870531039007187E-03	4.0431914448235320E-03
2.1986408088413284E-05	1.2509000000000000E+02	1.5081153183898027E+02	5.6683440521212037E+02	5.7282598192003832E+02	8.9929475046195785E+02	5.9298396504623065E+00	1.1928915216880345E+01	9.0134744549698539E+01	-1.2263109937576371E+00	7.8077584289711196E-04	5.3439082188418774E-03
2.6510956852546566E-05	1.2509000000000000E+02	1.5293104227453520E+02	4.6038464392087639E+02	4.6593321497828384E+02	5.7298237780247928E+02	1.1765247822955830E+01	6.5733330339534817E+00	2.4233618924037376E+01	-5.3883458585709332E-01	3.8899420109600306E-03	1.6107428147652007E-03
6.1372476021877184E-05	1.2509000000000000E+02	1.3053450797859790E+02	1.2561500890907600E+02	1.2910609113476522E+02	8.1349135719402284E+02	6.7354758211576726E+00	4.0871643679156726E+00	1.8106325466700980E+01	-1.4283161628292493E+00	3.1195546770749235E-04	5.1083407729830173E-03
7.6723338601389620E-05	1.2509000000000000E+02	1.3246670595169846E+02	3.0122933841833344E+02	3.0143001417230346E+02	9.0709414782798581E+02	1.5373983123513861E+00	2.2176372850861572E+00	9.0248929586843090E+01	-1.3999610090472188E+00	3.5559020807379526E-04	5.1385634748982662E-03
1.4206530213394268E-05	1.2509000000000000E+02	1.6136601283894666E+02	4.9248226957511264E+02	5.0234729286392559E+02	6.2022590635820575E+02	4.8119727436043185E+00	1.2389896834776689E+01	8.0890462281131406E+01	-6.0145485790622033E-01	3.6059649656721808E-03	4.6099498980786136E-02
7.8554025000647257E-05	1.2509000000000000E+02	1.4178163555684111E+02	3.6838555527775804E+02	3.6857054447688648E+02	5.1874378350039183E+02	1.1525997233682309E+01	3.6116915281450801E+00	2.6777038757585473E+01	-1.6746208247160355E-01	5.0660439039955556E-03	1.5745754070578205E-04
1.7775528996254924E-05	1.2509000000000000E+02	1.4183258930922608E+02	5.9619074954939572E+02	6.0308414827244542E+02	1.3241236599041724E+03	1.2583464916461828E+01	1.2145643777607773E+01	9.2757148593551079E+01	-1.1775817235538200E-01	5.1358499993445677E-03	7.8257376203906521E-05
1.9277344779880974E-05	1.2509000000000000E+02	1.3206734179300133E+02	8.9387515519926092E+02	9.0099908825522243E+02	1.1118714851149689E+03	1.3445841437413284E+00	8.5683564139848372E+00	8.6932008962115276E+01	-1.5092051137478295E+00	2.3018722047909678E-04	5.2553831491658834E-03
1.5874178137803571E-05	1.2509000000000000E+02	1.2991647835967433E+02	8.1124017623310908E+02	8.2080374121703369E+02	1.2010293202246676E+03	1.0231410680772461E+01	1.0673655696852904E+01	3.3648937559057458E+01	-2.9150975804725454E-01	4.7923219034299112E-03	4.2855954947698064E-04
4.0308806004276960E-05	1.2509000000000000E+02	1.3054114244122579E+02	3.6048946595307882E+02	3.6273516195953601E+02	1.1931384234890056E+03	8.4415276717122296E+00	6.8527598416212756E+00	8.6019832749394624E+01	-1.4804678369858082E+00	2.5190091659536525E-04	5.1713064145200030E-03
1.8901673118078607E-05	1.2509000000000000E+02	1.2955092994160063E+02	5.3558437939993314E+02	5.4297927475673112E+02	1.4183895772641476E+03	5.6991785682733997E+00	9.2988542960951364E+00	3.0104848323438711E+00	-1.0889515485100043E-01	5.1457953221901677E-03	6.1108826892944835E-05
