omega_c	mmH1	mmH2	mmH3	mmA0	mmHch	lam1	lam7	m11	aDM	WH1	WH2
2.6022995624069658E-05	1.2509000000000000E+02	1.3970774740117497E+02	4.9352292224928874E+02	5.0137279991590083E+02	1.2974653106403841E+03	6.1617970740710373E+00	8.3164830221871302E+00	7.6788390159508396E+01	-8.4560678244185317E-01	2.4080957972006925E-03	3.1272996971833679E-03
5.7178841996361455E-05	1.2509000000000000E+02	1.7341581812437894E+02	3.1768037740498801E+02	3.2451152166096102E+02	1.0587086653377437E+03	8.9683248306011425E+00	9.6188577415043763E+00	3.2805237304328585E+01	-3.5401708623747807E-01	4.6046602102928543E-03	5.5845622698526387E-02
1.0191531124223681E-04	1.2509000000000000E+02	1.7159469682947952E+02	3.3241722289585380E+02	3.3605958892314675E+02	5.9672157924935300E+02	3.6202626259160520E-01	1.3080229705097262E+01	3.1493872207819422E+01	-4.0748412709352388E-01	4.4205238735478321E-03	6.6871496908292902E-02
9.4939280709552899E-05	1.2509000000000000E+02	1.3899984906531398E+02	2.5833184551835609E+02	2.6100677334750384E+02	1.0800692951446722E+03	5.7934783578354292E+00	5.9222246942213843E+00	3.8471161287963000E+01	-1.8435896696539023E-01	5.0369690605118035E-03	1.8668400565932485E-04
1.5747060427618028E-04	1.2509000000000000E+02	1.7052382196940195E+02	1.9372944116766072E+02	1.9965245410783797E+02	5.0122519137860513E+02	1.0552274335758888E+01	5.0025927320600445E+00	1.2628766735842810E+01	-4.7275947037826116E-01	4.1694271354333562E-03	8.3438584226199708E-02
2.6080587868646850E-05	1.2509000000000000E+02	1.5747039185869525E+02	7.6946188366015531E+02	7.7482660515924294E+02	1.0224155329505054E+03	6.8104870363653109E+00	1.2063343321328677E+01	3.1647157623268272E+00	-4.5064986424841069E-01	4.2574854610588509E-03	1.1952064791121929E-03
6.3630351073272367E-05	1.2509000000000000E+02	1.3350607184075568E+02	3.9729538473640355E+02	4.0432624419421251E+02	5.6562922374141829E+02	4.4826023500331686E+00	2.1234535002724517E-01	7.9671034845370352E+00	-9.2768963031444684E-01	2.0070404120711843E-03	3.4154393970641499E-03
5.9246982579682130E-05	1.2509000000000000E+02	1.3706522481064090E+02	3.5344743640322582E+02	3.5849025256861478E+02	9.3501080641756334E+02	1.0642518149382676E+01	1.2405905218378596E+01	3.5521349535566451E+01	-6.4207869663107975E-01	3.4139287413740621E-03	1.9643043171087412E-03
1.4241728069002934E-05	1.2509000000000000E+02	1.2702463042468514E+02	8.9376331043604910E+02	8.9379706437410641E+02	1.6005185796648816E+03	4.1277997832874762E+00	1.7752828562982768E+00	5.0839101801551458E+01	-5.3137927078410985E-01	3.9226020699051753E-03	1.3022450754109698E-03
2.8641332341432100E-05	1.2509000000000000E+02	1.5628491752292723E+02	5.0979743709778290E+02	5.1224490435898531E+02	1.3530446750126057E+03	7.3647499271038681E+00	4.5018486535185236E+00	5.3818138130390146E+01	-1.4801470417261056E+00	2.5218924341733126E-04	6.2013268188317143E-03
6.6493997481922847E-06	1.2509000000000000E+02	1.5766907895957075E+02	7.9216698058516116E+01	8.3262665329157684E+01	4.4337342851486682E+02	1.2860387188177736E+01	1.0597343120396763E+01	7.6332038988513888E+00	-3.7948050813735068E-01	4.5195448726489959E-03	8.6566243041872920E-04
4.6865918792770491E-03	1.2509000000000000E+02	1.5945625058966050E+02	1.1273668951482358E+02	1.2009101420179522E+02	9.9025918619719300E+02	2.7511869219370126E+00	3.3735288074582486E+00	9.2033281754252172E+01	-7.8306024951000586E-02	5.1742185572140140E-03	3.9043832255609507E-05
1.6657524143085138E-04	1.2509000000000000E+02	1.3852433270856474E+02	1.6403022418451971E+02	1.6909843723247687E+02	3.0629713388918765E+02	5.2060077422792128E+00	4.5046996032841040E+00	2.2578347134207537E+01	-1.4004660090998762E+00	3.5474647495117384E-04	5.3769998050729653E-03
4.0255671525730056E-05	1.2509000000000000E+02	1.6636537207271689E+02	4.6447717771608251E+02	4.7373272335796275E+02	7.7445351277685427E+02	1.0949271424510176E+01	6.4523032303677414E+00	1.1283335489352856E+01	-1.7886360589898453E-02	5.2031780157966584E-03	9.7608211468136992E-05
3.4815289401466419E-05	1.2509000000000000E+02	1.4939994714345315E+02	5.0668707418101235E+02	5.1499855545582182E+02	8.6457672729835690E+02	3.7013642678043639E+00	1.2664722330572420E+01	3.5780400635106673E+01	-9.0080529583291458E-01	2.1368389214417808E-03	3.6708899101040413E-03
1.1735517762602371E-05	1.2509000000000000E+02	1.7344937996318535E+02	1.2491282712431291E+02	1.3410873025381414E+02	2.6581511102421916E+02	4.5388394516142263E+00	1.1718923820377757E+01	2.7499374176608111E+01	-8.7076597004614786E-02	5.1670085397415248E-03	3.5198801086583995E-03
1.5866243898869862E-04	1.2509000000000000E+02	1.4609673141936153E+02	2.6195537285504645E+02	2.6451899322891558E+02	4.3752970098868462E+02	9.7493868146321674E+00	5.1287354984454501E+00	6.3161212443449166E+01	-1.3831821761908114E-01	5.1098476620972267E-03	1.1105104412753819E-04
1.9100668578322425E-05	1.2509000000000000E+02	1.2529682543991451E+02	9.3921926780101808E+02	9.4395912890041200E+02	1.2282960904661081E+03	1.1551223541726928E+01	1.0445717923876698E+01	9.1694308509442166E+01	-1.0721815641136052E+00	1.3532047933230659E-03	3.8580170003211329E-03
2.7166318783598156E-05	1.2509000000000000E+02	1.5062974491336371E+02	6.3568763979044161E+02	6.3664670113783632E+02	1.1731958499286304E+03	8.6451586453920033E+00	5.7820055719846888E+00	5.1917523238303851E+01	-3.5410788736832344E-01	4.6043653036334673E-03	7.2437532379319265E-04
2.8487328411995369E-05	1.2509000000000000E+02	1.5715817555803255E+02	7.3898354279295711E+02	7.4123939968703291E+02	1.0365284262162299E+03	1.8462572687055252E+00	1.1960769400308266E+01	5.1604628376012961E+01	-1.5228821652868645E+00	2.2272356246505381E-04	6.2733518780975408E-03
2.1020817327610827E-03	1.2509000000000000E+02	1.4008790326459237E+02	1.2122808046230490E+02	1.2238031962531633E+02	7.0640671535227762E+02	1.0059284176705072E-01	2.6711701747827097E+00	9.7762649992836018E+01	-1.3574606311732573E-02	5.2038552809608781E-03	1.0316965798271253E-06
