Omega	Omega_err	MA1	svev	alpha
0.00925295	4.09263e-05	740.135	430.715	0.741155
0.00706242	4.33312e-05	120.523	381.408	-1.32451
0.0175909	8.45298e-05	653.704	658.886	-1.33678
0.0224373	0.000150942	94.7562	694.612	1.16973
0.012029	5.27485e-05	803.326	467.682	-1.40004
0.00318685	1.27344e-05	725.868	434.397	0.96122
0.000197358	5.76218e-07	586.494	491.764	-0.661839
0.36427	0.00234068	735.773	788.204	-0.726961
2.12569e-09	2.63047e-12	606.969	5.51356	0.0904347
0.129637	0.000737654	825.066	607.573	0.619566
0.19983	0.00119633	812.409	771.931	0.100429
0.00102845	4.7071e-06	236.111	404.898	1.24674
0.361107	0.0024222	569.823	951.253	-1.43313
0.128257	0.000724071	876.195	849.935	-0.538641
0.00701442	1.77193e-05	224.685	618.258	0.0442945
0.0144061	6.52458e-05	611.604	782.918	1.43277
0.541127	0.00417495	205.273	485.366	-0.807833
0.00331238	1.14561e-05	371.98	940.133	-1.46489
0.00103161	4.57558e-06	210.006	566.112	-0.927157
0.0313322	0.000153661	807.289	102.625	-0.362621
0.033577	0.000187954	444.169	428.965	-0.254427
0.0416123	0.000222927	607.297	747.811	-0.452514
0.00595021	2.43163e-05	744.171	870.19	0.984303
0.140662	0.000896452	445.981	769.609	-0.328909
0.00058002	1.73394e-06	361.635	638.526	0.353441
0.0388244	0.000202844	311.011	646.568	0.640936
9.84728	0.104788	213.685	908.984	-0.101172
0.202275	0.00225287	107.196	852.518	-1.49758
0.253805	0.00172464	553.048	442.875	0.00476599
0.00148418	5.29815e-06	549.779	857.62	-1.01109
6.3256e-05	1.13017e-07	392.268	991.482	-0.544716
0.0145609	2.42776e-05	63.5734	722.195	1.00618
4.77221	0.0400647	894.485	433.347	-0.435607
1.8373e-06	3.9074e-09	311.797	66.293	-0.853481
0.11879	0.000672945	936.384	696.428	-0.0855873
0.00534601	2.08719e-05	796.332	496.565	-1.41867
0.000687883	4.66996e-06	165.43	550.39	-0.351232
0.00123621	6.34208e-06	171.459	566.793	0.576688
0.00267975	1.40678e-05	336.817	11.1668	0.0479156
0.00114272	5.46158e-06	132.957	336.193	-0.522235
0.0573244	0.000294396	812.572	695.414	-1.47501
0.000132252	3.68104e-07	711.247	259.561	-1.13667
2.42572	0.0213567	503.094	611.333	0.689865
0.0157279	0.000121836	90.8449	768.246	-0.525602
0.117052	0.000675608	702.834	721.174	-1.0253
0.00343018	1.37685e-05	810.58	857.347	1.132
0.000508864	1.68952e-06	589.527	376.202	-1.05628
0.0986317	0.000607369	481.472	498.044	0.602081
0.00132844	4.41873e-06	907.807	722.417	-0.54439
6.30928	0.054155	892.312	465.437	0.590111
0.0834613	0.000506593	214.565	408.022	-0.190568
0.00496276	2.16634e-05	494.057	772.264	-0.85378
0.0504233	0.000265865	752.167	402.47	-0.883519
4.45255e-05	1.78597e-07	163.811	80.0134	0.393562
0.00252655	8.74384e-06	199.198	789.26	0.709782
0.257397	0.00178391	481.318	418.162	0.456125
0.00921968	6.59781e-05	158.609	971.933	-0.212494
0.000828059	3.06214e-06	511.387	121.079	-1.39305
0.0547676	0.000293841	682.764	496.424	0.61419
0.112851	0.000644297	734.798	923.812	-0.953575
0.017768	9.45581e-05	576.215	415.82	0.129034
3.816e-05	9.77318e-08	904.098	167.181	0.663315
0.000569077	2.51531e-06	267.789	437.633	-1.21023
0.00455052	1.76079e-05	944.931	760.202	0.695012
0.000288695	8.65215e-07	201.806	154.437	-1.20937
0.000148421	4.29058e-07	771.277	172.453	0.569651
0.0789622	0.000420983	891.95	377.451	0.0141055
3.56652	0.0305902	613.555	701.257	0.616967
0.00191266	7.42254e-06	599.468	238.222	-0.908374
0.0758695	0.000433435	373.283	922.073	0.186978
0.000271349	5.36234e-07	242.344	674.615	0.3179
6.09778e-05	3.28494e-07	199.506	323.098	-0.917083
0.00272725	1.05737e-05	724.82	323.805	-0.519019
1.5895e-05	4.42712e-08	196.067	17.1004	0.160909
2.10804e-05	5.27369e-08	674.158	56.6533	-1.26356
11.1968	0.105871	835.573	794.389	-0.566488
0.161416	0.0010639	441.905	531.006	-0.0522179
2.04851e-06	4.08922e-09	780.438	43.8525	0.92568
0.0222609	0.000149196	186.293	396.448	-1.49127
2.57696e-05	1.15769e-07	224.847	234.163	-0.57317
0.0764926	0.000579504	96.1497	652.693	1.3951
0.00460601	2.54728e-05	105.266	495.799	-0.899833
0.13327	0.000841424	326.903	312.06	0.800842
1.34527e-05	4.07129e-08	173.477	75.5226	-1.00365
0.0420984	0.000301655	101.9	664.243	0.228226
7.77121e-05	1.9553e-07	431.589	367.932	1.16008
5.22035	0.0513242	483.267	894.683	0.236951
0.0106311	4.69705e-05	666.049	893.085	0.55192
0.427365	0.00305444	242.407	620.137	0.740712
0.199767	0.00126571	649.448	949.401	-0.706254
3.68534e-05	9.81671e-08	379.648	31.0781	1.48824
0.0342791	0.000174315	688.856	155.097	0.0109089
2.95083e-05	7.60882e-08	522.464	77.0429	0.840394
0.000914594	6.32465e-06	235.906	637.133	1.41041
0.00953559	4.28347e-05	643.389	524.847	0.590524
0.000380739	1.12126e-06	916.406	364.287	-0.490655
0.000502674	1.80609e-06	138.612	80.5159	-1.01644
0.000233187	6.41554e-07	310.7	452.199	0.830985
0.000339862	9.98571e-07	577.818	738.495	0.489908
0.00461144	1.9464e-05	689.578	160.255	-0.63993
6.06436e-06	1.3971e-08	661.057	64.7459	-0.83063
6.806e-05	2.69071e-07	258.734	185.365	1.21113
0.0069945	3.99717e-05	163.643	573.911	1.22914
