Omega	MA1	MH	MS1	alpha	svev	WH	WS1
0.00382443	167.736	125.09	404.253	-0.17946	909.249	0.00586111	1.73831
0.000908552	605.487	125.09	937.6	0.264535	962.989	0.00564014	36.6324
0.0246222	691.521	125.09	628.525	0.0142559	337.25	0.00605277	0.0353565
0.0059282	774.077	125.09	888.495	-0.174797	728.348	0.00587091	14.9401
0.00104285	428.483	125.09	745.68	-0.0726023	423.792	0.00602215	1.55989
0.0032273	835.509	125.09	758.063	0.223388	426.446	0.00575689	13.8293
0.00164687	286.744	125.09	981.824	0.162587	433.432	0.00589538	55.7994
0.0473732	932.456	125.09	533.148	-0.142229	566.628	0.00593236	2.16085
0.00351246	696.214	125.09	475.579	-0.018929	241.009	0.00605184	0.0262699
6.92088e-06	466.585	125.09	948.697	-0.243581	884.976	0.00570186	36.3097
0.0161627	530.647	125.09	581.566	-0.176873	734.392	0.00586658	4.33373
0.00696246	608.873	125.09	826.778	-0.135608	842.285	0.00594336	7.28468
0.00505227	862.252	125.09	623.043	-0.0568726	304.36	0.00603444	0.562304
0.00294097	681.457	125.09	338.619	0.070431	185.895	0.00602402	0.0940033
3.04699e-05	401.752	125.09	875.029	-0.159074	382.759	0.0059021	29.7015
0.0034753	255.375	125.09	753.064	0.177564	766.424	0.00586513	14.1163
0.00176509	573.751	125.09	842.773	0.123291	510.485	0.00596244	6.09121
8.35964e-06	476.591	125.09	974.024	0.132824	969.327	0.00594783	12.8953
0.00214518	768.932	125.09	837.057	0.170335	397.344	0.00588005	11.0429
0.0408407	971.661	125.09	529.82	0.227907	615.724	0.00574496	4.91787
0.0347211	605.852	125.09	607.545	0.0606481	381.618	0.00603176	0.567621
2.57139e-06	461.681	125.09	917.423	-0.200906	530.88	0.00581292	21.8618
0.0117237	708.019	125.09	822.945	-0.119607	686.585	0.00596781	5.61831
0.0224105	220.473	125.09	715.783	-0.0794291	703.547	0.00601589	7.40983
0.0276083	721.392	125.09	422.343	0.134121	413.747	0.00594576	0.81141
0.118363	218.72	125.09	254.364	-0.171899	823.408	0.00587687	0.159675
0.0244306	845.658	125.09	795.291	0.108459	641.88	0.00598307	4.01953
0.000644065	343.075	125.09	968.693	-0.271515	700.14	0.00561856	57.663
0.120957	706.929	125.09	306.577	-0.137853	468.168	0.00593969	0.274504
1.09248e-05	272.251	125.09	543.03	0.100753	894.23	0.00599276	1.10739
2.32282e-06	381.099	125.09	770.639	-0.121598	691.252	0.00596493	6.1715
1.69657e-06	348.194	125.09	698.19	0.176445	698.288	0.00586748	7.5456
0.00332851	361.02	125.09	857.87	0.0638637	772.199	0.00602935	7.43359
0.00248963	389.196	125.09	257.466	0.0695837	162.979	0.00602474	0.0275479
0.000315733	366.22	125.09	956.675	0.126832	290.626	0.00595714	74.4126
0.0335349	159.779	125.09	940.14	-0.150237	790.81	0.00591838	25.1859
0.0406408	83.485	125.09	231.01	0.0504619	158.126	0.0060386	3.38799
0.000189804	338.982	125.09	749.33	-0.16366	777.044	0.00589329	10.8088
0.0300935	638.587	108.223	125.09	1.56312	120.311	3.07797e-07	0.00605365
0.00208544	824.896	125.09	791.353	-0.261558	414.474	0.00564919	24.157
0.0691792	966.75	125.09	789.32	-0.0999031	876.284	0.00599378	3.45456
0.0538052	717.611	125.09	855.093	0.0234119	361.242	0.00605069	0.236739
0.00143048	263.703	125.09	985.72	0.28709	571.531	0.00556859	71.0252
0.0096562	463.722	125.09	441.508	-0.10191	252.805	0.00599135	0.611524
0.00106903	296.003	125.09	971.212	0.279374	611.302	0.00559366	62.0489
0.0128305	720.413	125.09	328.388	-0.138069	264.835	0.00593933	0.370736
0.00464826	249.061	125.09	964.447	0.177157	634.69	0.00586598	36.7459
0.00915806	168.028	125.09	907.423	-0.195582	562.764	0.00582536	41.0008
0.0154516	739.868	125.09	799.687	0.0400961	270.563	0.00604428	0.564236
0.0130536	215.25	125.09	717.464	0.103992	640.674	0.00598877	9.81348
0.0557238	127.709	125.09	890.115	0.202214	958.401	0.00580981	25.9421
0.00116152	943.094	125.09	678.14	0.0991707	219.57	0.00599466	2.033
0.0524393	155.16	125.09	680.035	-0.126463	901.561	0.0059577	6.9256
0.0267313	276.982	125.09	294.975	0.190942	476.475	0.00583595	0.395848
0.0214979	139.049	125.09	727.148	-0.221344	797.145	0.00576221	18.4337
0.000475069	286.029	125.09	810.516	0.184746	333.692	0.00584972	44.1743
2.73689e-05	483.395	125.09	907.216	-0.242943	512.039	0.00570366	30.798
0.021622	181.277	125.09	728.077	-0.159515	890.799	0.00590126	10.9949
0.037621	90.5899	125.09	878.146	-0.190679	425.725	0.00583654	52.5876
0.0119406	167.554	125.09	976.604	-0.0810193	283.996	0.00601435	111.542
9.16068e-05	248.641	125.09	623.038	0.239551	210.946	0.00571319	39.0239
5.85331e-06	286.197	125.09	580.301	0.0435281	401.705	0.00604254	2.23405
0.0849887	531.231	125.09	161.791	-0.0570881	253.832	0.0060343	0.000566692
0.00132846	513.14	125.09	324.992	-0.0814454	155.6	0.00601394	0.125947
0.00121782	446.77	125.09	641.149	-0.221015	503.307	0.00576307	9.18226
0.00010192	270.975	125.09	571.487	0.0575136	669.969	0.006034	1.73521
0.000498644	280.918	125.09	462.259	-0.132997	238.192	0.00594755	1.23809
0.0001169	355.388	125.09	778.803	-0.20961	861.098	0.00579189	16.9104
0.000622694	961.774	125.09	639.227	-0.130822	182.748	0.00595098	3.39556
0.00014443	447.288	125.09	734.114	-0.313316	438.303	0.0054789	27.3417
0.000531576	537.45	106.641	125.09	-1.31505	45.7237	0.000329333	0.00566658
0.00968517	136.624	125.09	894.394	-0.283865	624.704	0.00557914	55.5065
0.0121132	804.995	125.09	894.867	0.117101	699.385	0.00597137	6.61607
0.0222213	903.368	125.09	705.5	0.0317552	458.166	0.0060479	0.246876
0.0295322	808.646	125.09	885.504	0.0905427	819.475	0.00600451	3.87782
0.000699451	265.279	125.09	807.144	0.23798	421.489	0.00571756	39.6663
0.0026725	208.725	125.09	717.043	0.188602	456.112	0.0058412	22.3788
0.00609273	381.415	125.09	700.83	0.0314241	670.635	0.00604803	0.237679
0.0225974	794.199	125.09	656.256	-0.188414	704.411	0.00584162	7.0891
0.118192	784.505	125.09	186.422	0.221615	266.879	0.00576151	0.0437426
0.00357662	294.769	125.09	230.012	-0.123049	163.982	0.0059628	0.0423903
0.020111	193.033	125.09	629.847	0.123705	854.121	0.00596183	5.26508
0.00241932	173.239	125.09	778.414	-0.166666	274.491	0.00588739	63.8834
2.40022e-05	535.498	125.09	994.488	-0.190653	371.57	0.0058366	25.4394
0.116485	369.398	125.09	391.355	0.126958	923.98	0.00595695	0.558918
0.0876451	978.091	125.09	994.472	0.0370659	600.56	0.00604569	0.923651
0.0567662	898.403	125.09	270.962	-0.0822139	296.286	0.00601318	0.0573106
0.00887999	906.303	125.09	623.553	-0.0470802	355.25	0.0060406	0.384019
0.00579369	685.533	125.09	701.078	-0.260381	661.203	0.00565275	16.2853
0.00397934	599.753	125.09	696.408	-0.160653	452.503	0.00589909	6.26986
0.00884825	153.501	125.09	405.683	0.116543	571.547	0.00597215	1.84853
0.000680351	288.23	125.09	643.079	-0.127266	982.144	0.00595648	4.23801
0.11004	858.094	125.09	153.924	-0.0539974	206.972	0.00603637	2.17561e-05
6.98422e-05	186.006	125.09	409.795	-0.193641	304.671	0.00582982	4.67894
0.0218995	565.166	125.09	720.331	0.0262284	265.939	0.00604984	0.178554
9.95322e-06	109.416	125.09	230.134	-0.285162	186.727	0.00557491	1.21431
0.000539371	469.559	125.09	788.917	0.169034	591.462	0.00588267	9.28571
0.000349714	363.147	125.09	824.317	0.124157	632.488	0.00596116	12.3034
0.00486031	848.513	125.09	220.117	0.130456	130.546	0.00595156	0.0390267
0.000396517	247.152	125.09	536.065	-0.0544061	476.467	0.0060361	2.92504
0.00672121	912.277	125.09	634.894	-0.213675	402.895	0.00578178	8.45023
0.092459	118.746	125.09	404.512	-0.127115	871.261	0.00595671	1.35417
0.0153147	160.734	125.09	433.595	0.146498	955.431	0.005925	1.67032
3.08444e-05	415.452	125.09	879.55	-0.172823	760.296	0.00587498	17.8907
0.00469413	173.515	125.09	639.456	0.0736646	180.827	0.00602121	67.3979
0.000216785	548.303	125.09	940.712	0.28454	790.259	0.00557694	42.0727
0.0191841	195.141	125.09	296.568	-0.208199	948.436	0.00579535	0.52808
0.00341998	857.458	125.09	768.401	0.153187	341.053	0.00591305	6.95664
0.000491814	238.484	125.09	925.905	0.270421	264.983	0.00562198	123.705
0.00217923	923.91	125.09	849.883	0.161642	321.586	0.0058972	10.3375
7.04394e-06	369.736	125.09	735.933	-0.158071	906.107	0.00590399	6.99822
0.0497538	250.637	125.09	798.723	-0.0620992	979.704	0.00603069	5.47614
