Omega	MA1	MS1	alpha	svev
4.43873e-05	231.558	925.624	0.157963	27.0249
0.00465954	234.846	403.312	-0.0336056	206.063
0.254827	52.9847	573.746	1.25263	704.781
0.0103307	812.298	704.689	1.41382	430.434
0.0934287	521.179	251.287	1.04937	531.561
0.00387746	426.427	453.018	-0.269734	388.828
0.00144796	538.794	945.554	-1.43132	635.249
0.000467924	479.66	823.666	-1.22257	833.745
0.00114564	799.291	829.754	0.562757	661.463
0.000603337	283.066	835.628	-1.45164	169.266
0.0211966	459.373	379.866	-0.746825	936.717
0.000313323	134.555	719.064	-0.622486	213.099
0.000304531	920.351	521.688	0.36908	136.745
7.99377e-07	924.705	649.856	-0.360314	32.5911
0.114408	645.41	286.955	0.0471212	430.276
0.000120581	160.622	308.27	-1.13422	626.217
0.0436373	188.024	937.878	1.43086	818.279
0.00620372	823.506	887.038	-0.275449	993.394
0.000213348	316.904	848.221	-0.583362	674.926
0.00179926	617.284	726.843	-0.343974	616.551
6.50844e-07	298.531	85.6527	0.305904	8.9834
0.0383192	685.509	421.148	-0.791555	982.698
0.0455418	658.103	399.994	-0.415672	763.276
0.0259139	658.264	342.276	0.938026	507.147
0.000113841	330.154	722.686	1.03424	754.287
7.69958e-05	659.723	874.517	-1.03442	242.289
5.01753	772.738	141.089	1.48921	485.558
0.0241059	817.932	385.278	-0.209362	365.175
5.89874e-05	420.931	62.07	-1.16427	31.6996
0.276041	433.218	176.434	-1.19925	378.066
0.000162967	526.428	943.347	-1.25203	486.468
8.005e-05	335.623	638.682	-0.926102	900.15
4.87747e-06	411.368	298.356	0.404136	35.3864
0.0207886	222.873	305.975	-1.32264	799.574
0.000330666	397.063	425.804	1.55548	53.9671
0.00629048	761.082	463.291	-0.820321	429.053
9.89285e-05	475.361	721.157	-0.935453	368.918
0.00111737	847.591	775.81	1.25167	321.182
0.00624212	769.157	859.943	-0.265226	999.887
0.00274029	548.625	639.688	-1.20505	621.167
0.15445	888.044	539.993	1.43115	745.318
0.000230878	795.967	128.802	-1.18362	35.5032
6.26146e-05	504.606	542.161	-0.896992	119.246
0.0100294	55.4518	789.484	-0.643372	453.909
0.008382	560.641	786.152	-0.0669773	497.947
0.021336	611.962	389.289	-0.1458	377.723
0.00198214	299.232	490.959	-0.240438	869.297
0.000713346	180.647	306.456	1.03972	540.349
0.00970866	796.449	788.935	-1.33102	786.714
0.00487333	867.737	336.136	0.497125	200.365
0.337806	828.297	343.473	-0.271076	872.846
0.0232427	182.957	235.73	1.165	709.213
0.178979	71.8819	703.952	0.675782	350.164
0.0111347	143.241	84.078	0.467205	169.53
8.11425e-06	525.037	600.864	-0.375338	73.11
5.3644e-05	857.32	948.182	0.54344	212.268
0.000764773	787.117	903.983	0.711285	749.556
0.00403631	290.12	281.631	0.715072	385.264
3.12601e-05	575.103	815.226	-1.15744	142.187
2.59675e-06	100.956	366.728	0.726266	3.40468
0.0111104	120.68	603.486	-1.31655	446.84
0.00115012	637.564	771.646	-0.998602	729.917
8.13063e-05	422.509	746.727	-1.00321	563.099
0.00864193	744.909	592.66	-0.594009	853.796
3.35483e-06	546.643	429.781	0.286322	38.2928
0.00265035	661.412	464.074	1.00099	319.435
0.000452017	329.299	907.346	-0.745202	950.25
0.00442729	324.075	446.233	-0.417989	993.979
1.89419e-05	99.7183	209.774	-0.367375	448.432
2.78109	931.42	165.072	0.653738	565.631
0.0117602	861.798	718.168	-0.335351	888.87
1.04672e-05	360.828	717.355	0.547011	704.471
0.000372992	197.136	575.61	1.24781	265.993
0.0226281	89.6842	649.414	1.07704	716.1
0.00697338	606.761	139.639	-0.457334	106.52
1.84115	535.871	202.331	1.32937	721.655
2.91672e-05	362.105	834.266	0.298764	306.905
0.111555	949.338	222.755	-0.546203	303.888
0.0939402	890.922	431.211	1.2606	719.673
0.00090403	198.566	806.576	-0.692024	575.807
1.18689e-06	432.186	853.455	-0.538599	177.735
0.00250954	552.869	299.314	-0.0981905	172.219
0.00158196	388.953	540.092	-1.01358	823.348
0.00121843	692.423	416.055	1.30838	101.416
0.00124443	300.321	783.286	-1.38046	512.06
0.0062229	56.0402	145.505	-0.699321	387.338
0.000309155	526.717	728.64	1.38566	179.483
0.00122386	585.215	407.933	0.611854	221.57
1.00733e-05	311.388	225.237	-1.51005	24.2945
0.0178488	474.551	330.126	1.09696	488.592
7.02597e-05	820.219	164.35	1.09434	27.5134
0.245218	530.405	298.743	0.218661	765.045
0.126316	132.029	65.2215	0.979918	630.558
1.67134e-05	160.727	291.181	-1.26338	90.2275
0.00289735	69.8206	283.743	0.47977	39.8844
0.00926097	641.676	383.713	0.366645	348.127
5.73303	558.95	161.71	1.40696	636.406
0.00273698	441.836	791.206	-1.45385	797.225
0.0101529	905.556	635.335	-0.656052	885.677
0.389327	884.078	491.866	-0.0490046	860.913
0.112236	507.088	397.072	-1.51458	297.023
0.00369443	638.253	189.206	0.411251	116.634
7.8764e-05	422.949	617.986	0.551781	284.337
0.610019	51.6991	885.548	-1.34521	293.052
0.000421442	97.2576	785.008	0.211706	20.634
0.120116	626.214	491.157	-0.0380695	605.007
0.00541572	176.492	625.846	0.285432	779.275
2.08354e-05	167.712	384.419	-1.35937	76.182
0.000749231	731.491	230.85	0.435633	86.1099
0.000238504	370.056	547.873	-0.280146	270.302
2.4927e-06	215.859	390.928	0.848248	87.3777
0.000355776	326.475	825.318	-0.985908	841.969
0.0571567	660.327	372.358	-0.440756	753.81
0.00938535	813.515	613.975	-0.570581	847.737
0.206336	289.821	936.043	1.53591	909.325
0.0001209	370.461	177.252	-0.32277	57.1395
1.73336e-05	358.102	324.947	-1.21492	36.8895
0.00345756	822.821	599.514	0.62189	524.583
0.638406	940.441	328.794	-1.43578	468.492
0.000108151	204.112	934.445	-0.639082	229.924
0.00132946	356.803	503.476	1.0976	656.621
0.0122886	167.451	119.29	-0.976273	168.587
0.000380996	105.333	260.901	-0.323681	178.961
7.52818e-06	388.153	797.138	-0.259028	794.434
0.344985	172.086	99.4423	0.685059	531.298
0.139131	648.956	845.577	1.55302	416.599
2.48712e-06	224.371	289.823	0.48659	38.2803
7.49201e-05	274.269	596.963	-0.424175	951.509
0.000325074	150.439	393.901	0.282994	215.143
4.85272e-05	463.191	911.715	-0.810216	779.543
0.000148894	222.616	439.968	0.0646605	639.43
0.00321227	287.106	472.064	0.212124	938.193
0.000284274	521.506	681.437	-0.316981	286.297
0.00419965	577.014	437.684	-0.97577	394.049
0.00154542	677.507	766.174	0.8775	844.445
0.00278769	413.138	372.79	1.40246	145.154
0.183276	716.69	334.238	0.0473925	536.961
0.00222133	295.953	406.63	-0.942892	757.429
0.0569537	796.597	642.723	-0.109716	720.73
3.56129e-07	164.787	336.362	-1.27862	33.565
0.24017	67.7992	846.993	0.475754	492.614
6.6096e-06	334.677	666.616	0.330962	840.999
0.105571	482.791	526.067	-1.52827	385.281
0.0605535	848.856	496.807	1.20752	959.995
0.385074	781.045	190.973	0.403334	400.051
0.0183377	547.602	543.833	-1.30202	828.425
0.000201263	236.557	574.904	-0.369313	551.079
0.000551041	861.266	920.798	-0.518908	475.972
0.0138158	817.791	794.393	1.32319	986.277
9.24612e-05	511.009	870.077	-1.03858	527.005
0.0459865	446.144	178.612	1.54915	183.764
0.150859	625.419	299.234	-0.541051	877.599
0.0014645	440.207	755.975	-0.151969	956.207
1.85114	349.809	129.028	1.52824	537.642
0.00206904	653.932	809.911	0.126939	369.529
0.00772706	780.709	825.346	0.227583	875.357
2.37393	669.739	68.1413	0.518364	494.132
8.98327	888.219	65.6201	-0.939865	834.575
0.0224201	194.232	114.277	-0.40365	194.749
0.000135359	363.511	639.91	0.94126	699.593
1.64615e-05	445.886	759.577	0.885642	251.988
3.56747	838.605	173.535	0.857635	768.594
0.158779	933.446	219.768	0.148481	314.086
0.000425226	95.1145	601.997	0.922076	120.585
0.0247648	620.139	313.624	0.749981	459.048
2.87758	329.244	170.151	0.203705	939.619
0.0122106	234.428	622.083	-0.0925879	936.419
0.000337698	311.993	519.242	0.16734	270.871
0.178145	328.819	143.184	0.725634	335.839
0.000309333	266.719	785.632	-0.986378	504.466
0.014962	55.4008	817.695	-0.87209	733.556
1.99487e-06	469.692	476.975	-1.39446	16.8949
0.00801591	740.599	710.972	-1.25723	795.06
0.0263498	831.123	590.908	-1.327	664.988
0.00191952	262.991	786.444	-1.34198	548.583
0.00254093	355.686	915.148	0.0872099	626.474
0.00198992	108.331	736.436	0.469512	259.478
0.00504758	572.068	561.889	-0.610691	835.641
0.0024154	429.584	539.534	0.270417	528.488
0.404861	66.5093	443.353	1.2192	642.563
0.00191899	204.325	637.294	0.897476	987.908
0.0239694	278.202	420.268	-1.44706	863.415
0.00228422	256.712	714.49	-0.0307454	113.109
6.71605e-07	679.637	299.038	0.217813	18.9552
0.0220934	85.4741	98.8333	0.830667	219.564
1.10829e-05	610.723	588.233	0.375393	70.9504
0.00280966	177.767	812.995	-1.4301	206.362
0.00101146	306.349	878.689	-1.06718	932.937
0.00907362	565.983	778.334	-0.137274	946.036
0.000133804	248.602	597.121	1.0269	496.195
0.0144171	361.61	351.553	-0.15598	317.768
1.48502e-05	600.591	264.618	-1.42681	20.6624
0.000407499	313.451	842.235	0.474957	810.43
0.00258427	480.467	478.619	1.30611	271.404
0.000409584	341.614	854.063	0.377809	960.574
0.00688817	782.752	703.895	0.341954	780.787
9.76763e-06	532.229	554.758	-0.35348	66.0865
5.25339e-05	201.879	528.297	0.805754	215.141
0.0161585	829.85	253.86	0.0470878	207.623
0.12807	468.479	383.954	-0.0682744	561.258
2.95174e-05	276.188	410.114	0.809588	130.322
0.00477833	838.732	620.585	0.721364	673.776
0.258739	524.648	167.401	-0.94127	350.528
0.00233065	821.295	836.945	-0.497765	809.422
7.18356e-06	441.703	899.057	-0.336763	729.311
0.000603261	477.354	370.503	0.326665	150.135
2.74621e-05	574.363	661.81	-0.498455	119.85
0.185272	95.7631	904.15	-1.42125	819.785
0.00202115	364.264	480.876	-0.621507	805.496
9.14302e-07	151.46	393.497	-0.862207	32.7537
0.0445622	510.898	261.65	0.440202	426.509
0.00949289	148.595	689.646	-0.411224	981.695
0.00455381	638.702	870.074	0.140669	762.147
0.00100839	290.577	290.953	-1.16569	149.608
0.0960651	902.763	310.903	1.09935	470.817
2.56052	265.053	682.553	1.56565	897.637
0.000502118	213.428	349.084	0.276868	301.23
0.247347	692.581	265.655	-0.646161	813.867
0.000108662	477.305	874.506	-0.86052	934.507
0.0547363	614.152	371.39	0.264942	595.596
0.000252297	291.464	300.08	-0.68817	129.981
0.00091166	541.034	842.169	0.111842	410.49
0.237107	203.072	304.761	-0.021654	386.148
0.00411604	937.313	762.8	-0.285798	491.978
0.00817928	161.884	779.755	-1.04461	997.16
0.00564046	95.4092	406.627	1.06279	462.349
2.29734e-06	331.133	643.617	0.0792876	65.3185
0.0186573	65.0067	264.814	1.37981	110.462
0.000126904	514.894	617.049	-0.675546	220.934
