Omega	Omega_err	MA1	svev	alpha
0.0122593	1.58219e-05	849.794	279.303	-0.21636
0.000801563	1.38488e-06	783.111	266.917	-0.226079
0.0239349	2.41127e-05	294.186	758.148	0.0478649
0.0174547	1.88566e-05	268.624	350.103	-0.0363877
0.00288768	4.40773e-06	461.166	529.256	-0.0951392
0.0488584	5.57543e-05	595.982	879.031	0.0703437
0.00999627	1.34356e-05	160.29	474.246	-0.174943
0.00147237	2.37831e-06	514.486	380.67	0.0905202
0.000827584	1.46355e-06	600.167	471.715	-0.118236
0.0387375	4.43579e-05	510.905	507.518	-0.0849067
0.0173369	2.11955e-05	684.04	153.642	-0.311891
0.00134298	2.04665e-06	533.026	163.804	-0.293647
0.0043667	5.89525e-06	474.213	184.915	0.0897466
0.00150856	2.48532e-06	830.761	455.975	0.196736
0.00579694	6.6222e-06	315.751	907.448	-0.119817
0.0747256	6.79189e-05	118.345	544.987	0.108154
0.000109931	1.19025e-07	351.494	593.669	0.259105
0.00414787	1.1081e-05	469.964	986.445	-0.00975838
0.019451	2.5619e-05	312.924	976.603	0.0997029
0.000787429	1.37735e-06	657.222	609.13	-0.265695
0.012742	1.68096e-05	353.355	913.43	-0.160055
0.00302653	1.49828e-06	135.397	892.318	-0.243626
4.88861e-05	1.28874e-07	509.328	837.274	-0.237528
0.0155802	1.92301e-05	770.665	373.457	-0.0729465
0.00153646	2.47354e-06	686.172	307.864	-0.13807
0.0471021	5.46667e-05	929.098	950.375	0.0984541
0.00332911	4.86917e-06	825.345	220.792	-0.0345861
0.0156085	1.65049e-05	129.189	474.548	0.186121
0.0034125	4.05201e-06	206.111	565.65	0.217732
0.000146786	3.94772e-07	141.022	516.733	0.148958
0.0341492	4.00892e-05	566.021	493.854	-0.051645
0.000252552	4.9036e-07	572.414	445.763	-0.245199
0.00171904	2.75421e-06	756.315	429.608	-0.219396
0.00487406	5.51167e-06	357.629	574.265	-0.0670368
0.0117034	1.48569e-05	607.132	491.08	-0.162489
0.00436458	4.8442e-06	213.837	804.616	0.183249
0.0201921	2.12166e-05	109.636	648.709	0.314783
