Omega	mH1
0.0100631	81.3759
0.00251272	419.484
0.0373632	748.926
0.0421096	462.799
0.000443933	357.326
0.0725283	591.037
0.000349829	688.57
0.000434141	176.062
0.00354834	629.076
0.047828	433.156
0.0287971	195.138
0.0116034	689.25
0.000854089	814.405
0.000571132	308.302
0.0014403	523.28
0.0135539	735.986
0.0594143	551.355
0.0069582	961.689
0.0656482	565.971
0.0139102	684.53
0.0419363	701.299
0.0104109	778.558
0.00277956	586.845
9.99654e-05	606.344
0.000331323	632.379
0.0779446	112.976
0.00449287	382.71
0.0109464	234.878
0.000523301	265.168
3.9633e-05	376.062
0.0132328	401.264
0.0303286	741.637
0.00347666	619.454
0.00254378	272.05
7.61544e-07	191.517
0.0167686	300.932
0.0165476	145.84
0.00812058	84.3687
0.00249984	694.857
0.000147267	393.191
0.00162125	759.533
0.000146795	463.1
0.0168492	217.179
0.0537081	404.887
0.0295914	819.317
0.0384615	365.436
0.00134212	223.558
0.00479204	334.352
0.00337809	666.755
0.018292	849.023
0.0329599	430.694
0.00518122	791.237
0.000606492	832.112
0.000353088	760.007
0.0240653	943.956
0.00669063	149.529
0.0188913	735.734
3.20883e-06	374.713
0.00255025	962.492
0.0643741	272.275
0.00257194	623.317
0.000132374	398.301
0.0553348	409.563
0.0260169	816.654
0.0415086	650.598
0.0057659	964.948
0.0201341	986.227
0.00339466	891.396
0.00576001	866.918
0.000923439	226.577
0.000261128	276.771
0.0160035	683.738
0.0298426	578.199
0.0872681	792.567
0.0108823	268.754
0.0162669	629.257
0.000442967	406.368
0.00965693	693.855
0.000576265	259.165
0.0372178	165.025
0.00298935	761.655
0.00017179	266.963
0.0101495	112.914
0.000181566	293.211
0.00367787	997.132
0.00135693	290.687
0.0562535	580.761
0.0154561	863.823
8.24154e-05	495.241
0.00819537	781.788
0.000377933	775.767
0.0116369	99.5161
0.000317394	334.414
0.0015081	291.961
0.0382053	959.471
0.0575095	891.161
0.0321707	988.694
0.000986899	764.725
0.106046	835.736
0.000732261	421.007
0.00216447	774.021
0.00141741	434.692
0.000489775	217.821
0.0152305	377.101
0.00107003	169.591
0.0746456	500.116
0.000169155	190.912
0.00730226	491.505
0.00990751	897.567
0.00724019	812.556
0.00217792	216.391
0.0101921	985.793
0.0315592	513.934
0.018409	444.901
0.0338398	117.508
0.00363875	444.135
0.00303003	315.181
0.000730748	995.881
0.10624	528.94
0.00606648	715.152
0.000317901	221.549
0.0170252	673.581
0.0100764	936.034
0.00355995	296.573
0.0100031	622.179
0.0130397	335.797
0.0440913	615.651
0.0176295	804.58
0.000499012	286.202
0.0174392	778.999
6.20641e-05	98.1811
0.000729915	220.419
0.000756457	199.303
0.0356167	712.004
5.50667e-05	564.525
0.0927521	698.592
0.0137717	730.376
0.020983	557.97
0.00580691	940.401
0.000270545	609.506
0.0339372	953.071
0.0576204	412.047
0.0483847	352.284
0.0266517	616.873
0.00257174	333.663
0.00313072	942.119
0.0285963	103.643
0.00359637	238.159
0.00286104	167.148
0.106121	93.0993
0.095448	586.541
0.003987	321.023
0.00379639	412.044
0.000561519	534.022
0.0044747	978.142
0.00256298	771.209
0.0495512	472.058
0.029729	308.298
0.000287863	367.812
0.00416671	220.923
0.0181208	131.792
0.000268431	193.391
0.0089837	138.203
0.000605095	205.857
0.00469133	751.679
0.00825466	706.011
0.00672028	435.509
0.109336	578.595
0.00894978	766.758
0.0245975	434.194
0.00170093	991.337
0.0114342	251.309
0.0679707	968.631
0.000719464	354.609
0.000487046	911.243
0.00267142	537.076
0.0776911	117.126
0.00397473	505.402
0.0818231	784.037
0.0331364	260.793
0.107991	872.064
0.00165497	281.316
0.00627054	259.46
0.00809908	762.645
0.00278517	148.642
9.15024e-05	319.678
0.00321828	788.561
0.000300657	585.879
0.00435921	184.359
0.000924546	423.726
0.0254011	275.614
0.000798479	383.516
0.0082574	688.267
0.0386806	637.639
0.0318648	941.922
0.00331756	369.33
