Omega	Omega_err	mH1	mH2	mHc
0.000148002	7.40634e-05	811.645	865.018	937.529
0.000145358	2.45861e-05	448.873	474.121	543.635
0.000726067	2.87181e-05	229.125	584.528	552.932
0.000112714	8.88841e-06	390.129	452.382	499.703
0.000253014	5.88732e-05	853.898	987.253	976.478
0.000354535	1.37404e-05	264.531	532.584	652.752
0.000166897	7.38804e-05	706.595	816.418	738.636
0.000236734	2.36145e-05	433.764	519.584	560.609
0.00203875	0.000366012	749.1	775.431	799.068
0.000434305	0.000100701	772.539	928.475	849.12
0.000294916	6.01572e-05	548.539	699.098	712.349
0.000951241	0.000189309	690.102	752.628	696.483
6.60889e-05	2.92267e-05	476.095	720.858	607.391
0.000102879	4.04661e-05	620.878	715.459	751.295
9.15343e-05	1.90715e-05	587.191	708.343	666.352
0.000234592	6.59992e-05	615.141	629.295	709.673
0.000917817	0.000128189	478.195	481.54	535.887
0.000365731	2.48926e-05	254.852	408.491	443.066
0.000557756	7.87572e-05	421.486	586.335	460.868
0.000967386	0.000190805	650.861	730.188	722.044
0.000298468	5.37061e-05	622.954	827.521	878.419
0.0001328	7.54641e-06	341.565	756.572	768.961
0.00127768	0.000259424	648.078	687.127	742.385
0.000907817	0.000110454	686.68	941.355	963
0.0212411	0.000947573	594.65	939.229	868.762
0.00126081	0.000264357	785.431	930.286	892.398
0.000104806	3.15109e-05	686.686	889.806	956.379
0.00127617	0.000209025	712.693	843.387	732.788
1.41676e-06	1.21443e-06	179.194	525.016	558.369
0.000487363	6.87785e-05	666.686	837.013	905.908
0.000447676	0.000150924	693.587	722.406	756.519
0.000243667	6.78976e-05	822.5	937.849	923.824
0.000858249	0.00010463	652.944	987.597	945.743
0.0060846	0.000668234	883.315	889.638	909.73
0.0128904	0.000334366	639.455	718.821	732.866
0.000315805	9.66685e-05	747.716	779.559	860.432
0.000115802	1.79203e-05	426.105	564.423	558.6
0.00090267	0.000125547	755.787	921.585	932.262
0.00621357	0.000484111	603.945	605.508	637.235
0.00177926	0.000373991	725.631	729.665	766.662
0.00110078	0.000106351	361.884	415.492	398.815
0.000630087	2.269e-05	149.285	692.26	664.544
0.00197073	0.000370852	696.177	719.695	747.138
0.000705638	0.000103555	446.351	457.286	516.94
0.000117402	9.5065e-06	319.347	512.528	554.495
0.000145699	3.27945e-05	464.663	494.434	534.528
0.00047536	6.22132e-05	292.348	803.731	834.152
0.0024985	0.000320052	438.96	569.441	599.645
0.000712101	0.000144237	581.088	646.666	618.339
0.0029049	0.000357029	761.487	775.228	781.098
0.0024494	0.000388558	801.139	951.161	885.597
0.000401283	6.08785e-05	584.383	861.587	839.759
0.000980275	0.000125158	491.68	562.548	578.786
0.000115082	2.46312e-05	585.204	692.177	642.182
5.43097e-05	1.73507e-05	380.11	563.651	551.649
0.000147787	3.5387e-05	669.809	973.217	986.842
0.00165276	0.000360795	826.269	880.525	938.605
0.0618331	0.0275073	611.193	618.937	612.858
0.000676676	0.00010227	419.716	438.608	508.865
0.0010406	7.49126e-05	245.098	248.574	359.943
0.000297002	2.76178e-05	354.615	502.73	544.936
0.008096	0.000830243	805.937	877.369	930.505
0.00120759	0.000114796	312.481	384.789	379.402
0.00017067	2.89282e-05	469.777	641.531	657.648
0.000134003	3.67821e-05	609.987	898.108	952.401
9.37651e-05	1.41851e-05	463.426	634.589	546.504
0.000270716	0.000115447	780.325	889.113	829.995
0.00100977	0.00012669	401.312	474.209	440.844
0.0253268	0.00280156	963.612	972.859	985.023
0.0150822	0.00102433	778.241	982.794	965.666
1.14237e-05	1.22165e-05	232.976	734.281	637.419
0.000489747	7.33452e-05	625.273	828.18	868.601
0.00397008	0.000292424	545.592	721.157	694.312
0.00119995	0.000159884	663.886	664.276	736.503
0.00152928	0.000209911	401.172	437.136	509.273
0.00139799	0.000283056	664.038	718.811	681.36
0.000567114	4.82332e-05	297.166	384.026	441.84
0.000477279	5.48856e-05	445.515	574.956	611.547
0.000255123	1.75816e-05	350.49	722.485	480.791
0.000230562	0.000128682	779.159	826.91	821.693
0.000245837	6.76055e-05	467.133	564.468	498.785
0.00417129	0.000469009	145.324	220.639	157.469
0.00709283	0.000891652	736.453	925.091	862.474
0.00020771	1.31102e-05	306.811	392.938	388.614
0.00109903	0.00012588	378.145	442.171	452.807
0.00140557	0.000160065	478.035	479.906	532.011
0.00068865	0.000107248	732.821	895.271	876.058
0.000610587	9.47031e-05	570.007	572.949	697.596
0.000458751	7.11304e-05	685.16	841.941	890.279
0.00177758	0.00021062	776.959	867.858	937.867
0.00659787	0.000251631	885.553	913.314	926.08
1.51232e-05	2.50532e-06	125.685	512.998	393.504
0.00243673	0.000385149	170.024	198.055	229.62
9.38426e-05	1.99012e-05	549.299	587.899	664.04
0.00424774	0.000327161	700.531	700.64	755.799
0.0191155	0.00069713	656.136	917.434	910.165
0.0172343	0.00173498	838.279	973.205	970.423
0.000383455	6.19131e-05	562.928	708.121	709.195
0.0120411	0.00134074	531.134	562.307	536.322
0.000840169	0.000235704	610.648	611.589	687.198
0.00019385	3.50145e-05	551.084	680.734	770.274
0.00137748	0.000474411	850.623	905.131	901.677
0.000360052	0.000157663	650.132	682.023	688.913
0.0271459	0.000755973	881.487	940.81	912.779
0.000220957	8.67583e-05	650.939	712.364	683.343
0.000337655	3.04945e-05	343.592	457.156	422.228
0.000168703	1.41754e-05	339.579	609.726	417.087
0.000250333	4.40374e-05	527.607	624.331	644.881
0.000331113	0.000134157	834.487	945.491	878.786
0.000761644	6.79914e-05	411.127	511.678	571.039
6.29593e-05	3.55537e-05	471.647	954.445	861.466
0.00211428	5.85911e-05	104.933	629.947	435.174
0.000236638	2.26417e-05	269.866	687.26	549.253
0.0126534	0.00037009	392.795	854.321	952.747
0.000258697	8.59348e-05	585.647	615.892	642.149
0.00314511	0.000184608	347.054	715.335	642.072
0.00030939	6.01356e-05	621.112	769.206	716.275
0.00131044	0.000189375	460.269	485.497	502.334
0.000413456	3.12077e-05	326.656	559.51	396.559
0.00296245	0.00044593	723.264	763.065	778.485
0.000289496	5.25687e-05	645.157	905.219	819.863
0.000914923	0.000143362	550.278	676.674	715.501
0.000726742	0.000133759	616.966	730.046	692.897
0.00123503	0.000224821	488.306	519.187	547.206
0.000267414	1.79841e-05	133.905	577.274	426.73
0.000327201	4.55289e-05	422.566	503.608	497.102
0.00976078	0.000639779	587.038	742.381	719.889
0.00596842	0.000190014	249.581	737.62	742.199
7.99782e-05	1.4578e-05	455.491	532.184	592.43
0.000161375	4.98448e-05	600.279	707.901	660.955
0.00158226	0.000183171	449.817	457.247	503.717
0.000508397	4.1658e-05	392.079	522.935	528.061
0.000300929	4.44413e-05	562.47	816.601	721.884
0.000771914	0.000106233	398.724	484.233	547.458
0.00218359	0.00032828	874.724	965.719	905.774
2.66014e-05	1.7387e-05	156.323	753.045	706.521
0.00236638	0.000585055	189.404	198.552	239.307
0.000452086	8.49813e-05	668.556	868.027	769.17
0.009761	0.000485601	584.839	728.375	688.591
0.000451635	2.39396e-05	369.123	783.427	704.659
0.000132745	2.72565e-05	566.347	717.808	850.912
0.000132131	6.21429e-06	201.799	726.787	647.992
0.011991	0.00123596	772.791	782.974	802.418
3.18731e-05	1.90756e-05	185.68	482.484	508.506
0.000392172	7.99316e-05	665.168	753.843	801.462
9.67133e-05	1.28608e-05	342.034	570.075	496.945
0.00181186	0.000217483	501.728	554.214	551.452
0.000322997	8.14902e-05	804.894	926.815	905.662
0.000145786	4.83747e-05	669.466	805.249	767.408
0.000283269	8.70698e-05	624.525	636.924	671.505
0.000125026	2.15464e-05	626.987	890.373	822.444
0.000257764	2.29334e-05	408.197	922.019	826.68
0.000175332	1.87629e-05	467.055	735.33	602.766
0.000179832	2.25023e-05	479.946	661.603	592.239
0.00189933	0.000139059	487.511	831.08	799.673
0.00128885	0.000170807	390.372	409.35	489.549
2.03552e-05	1.55084e-05	245.02	852.339	891.209
0.00059478	0.00013243	817.033	911.248	982.477
0.000331949	0.000112014	887.489	911.095	985.28
0.0019065	0.00024992	524.904	659.469	616.887
0.000358109	1.69318e-05	340.328	783.237	788.773
0.000976843	0.000187952	881.996	971.948	998.778
0.00067227	0.000241993	717.402	739.341	754.273
0.00232729	0.000459737	417.002	422.368	466.654
0.00826475	0.000612497	786.123	923.801	865.75
0.000872097	0.000299692	876.605	897.811	908.827
0.000473239	3.59846e-05	375.889	683.327	645.203
0.000251207	4.18987e-05	573.774	835.888	864.176
0.000240253	0.000127361	593.405	636.939	679.169
0.00163185	0.000381752	868.395	889.649	932.052
