Omega	Omega_uncer	mH1	mH2	mHc
0.000630452	2.93996e-05	346.285	914.594	861.04
0.00171608	0.000565758	335.752	432.026	441.327
0.00283313	0.000396749	795.566	892.669	856.695
0.000144892	2.32342e-05	478.041	640.155	667.77
0.000107056	0.000112857	681.253	754.141	787.035
0.000719388	0.000213722	831.613	919.693	909.863
0.00455638	0.000310306	493.569	660.828	590.384
0.0130385	0.000763764	835.868	979.531	951.947
0.000210711	4.53116e-05	642.158	691.217	741.044
7.62146e-05	8.20855e-06	175.842	513.703	530.138
7.00033e-05	4.63307e-05	622.636	843.469	891.075
0.000275	9.05401e-05	787.055	867.21	864.377
0.00314736	0.000360696	836.616	846.402	867.563
0.00262132	0.000249719	691.476	780.414	854.05
0.000162567	1.16974e-05	215.656	421.573	451.634
0.00122845	0.000271309	649.013	669.095	692.95
0.00146565	0.000201639	570.273	703.303	666.158
0.000213196	5.37883e-05	576.18	651.207	654.851
0.000246254	4.09824e-05	449.735	477.396	505.462
0.000134413	2.30711e-05	473.302	573.733	644.27
0.00506859	0.000340385	788.746	811.483	826.681
0.00158244	0.000262169	559.81	752.705	686.935
0.00192755	0.000124182	186.506	231.625	279.064
0.00118957	0.000126038	688.299	943.819	869.69
0.000542641	0.000187492	780.176	808.117	847.606
0.000574212	9.15346e-05	638.969	778.068	759.858
0.000326057	4.86833e-05	525.44	671.716	651.251
0.000972759	0.000112922	403.04	749.728	643.678
0.000142274	1.24654e-05	290.095	604.806	544.74
1.993e-05	1.01284e-05	168.864	893.568	814.019
0.0132146	0.000872707	472.506	483.536	473.506
0.000318438	0.000364227	693.104	694.971	730.573
0.000821849	0.000159576	514.246	621.975	535.685
0.00177242	0.000196185	490.179	492.713	539.805
8.92344e-05	1.99072e-05	444.455	652.453	642.42
0.00771571	0.00103262	839.02	923.43	910.358
0.000186244	1.58064e-05	404.602	497.786	546.115
0.000777296	8.97463e-05	534.968	699.99	756.569
0.000308605	5.08562e-05	745.756	927.13	892.968
0.00205917	0.000160971	567.408	635.936	615.08
0.00197337	0.000122829	296.727	938.081	913.671
0.000407776	7.70621e-05	649.283	770.31	770.353
0.00183613	0.000262885	372.424	449.751	493.227
0.000174221	2.04759e-05	465.428	532.072	537.468
0.00019074	3.95844e-05	626.128	877.056	868.011
0.00167825	0.000113708	222.466	330.612	266.394
0.00379212	0.000328817	608.017	724.606	682.77
0.000364689	3.16126e-05	316.243	350.244	366.324
3.2839e-05	2.89694e-05	214.705	547.823	481.19
0.000661062	0.000109244	653.384	826.491	746.929
0.00126871	0.000151782	450.956	503.463	473.526
0.000670062	8.70981e-05	503.562	706.239	633.915
0.00012635	1.25978e-05	236.899	373.014	407.615
0.000184601	3.62724e-05	572.886	922.655	874.146
0.000537286	0.000125114	567.887	666.066	611.642
0.00155946	0.000170582	558.099	566.305	614.248
0.000350451	3.81129e-05	420.671	521.351	636.628
0.000231882	6.90728e-05	567.741	623.244	633.34
0.000132449	1.37126e-05	454.556	795.537	743.503
0.0180898	0.0018765	699.003	699.621	715.757
0.0191789	0.000650662	362.324	727.231	640.925
0.000148001	7.40593e-05	811.645	865.018	937.529
0.000145359	2.48792e-05	448.873	474.121	543.635
0.000726067	2.87181e-05	229.125	584.528	552.932
0.000112714	8.88997e-06	390.129	452.382	499.703
0.000253016	5.89076e-05	853.898	987.253	976.478
0.000354535	1.37404e-05	264.531	532.584	652.752
0.000166896	7.38519e-05	706.595	816.418	738.636
0.000236734	2.36414e-05	433.764	519.584	560.609
0.00203866	0.00038787	749.1	775.431	799.068
0.000434305	0.000100628	772.539	928.475	849.12
0.000294916	6.01571e-05	548.539	699.098	712.349
0.000951159	0.00018932	690.102	752.628	696.483
6.60889e-05	2.92267e-05	476.095	720.858	607.391
0.000102879	4.04466e-05	620.878	715.459	751.295
9.15343e-05	1.90661e-05	587.191	708.343	666.352
0.000234599	6.68502e-05	615.141	629.295	709.673
0.000917707	0.00012894	478.195	481.54	535.887
0.000365731	2.48926e-05	254.852	408.491	443.066
0.000557774	7.76768e-05	421.486	586.335	460.868
0.000967379	0.00019188	650.861	730.188	722.044
0.000298468	5.37058e-05	622.954	827.521	878.419
0.0001328	7.54641e-06	341.565	756.572	768.961
0.00127761	0.000259356	648.078	687.127	742.385
0.000907818	0.000110458	686.68	941.355	963
0.0212411	0.000947573	594.65	939.229	868.762
0.00126086	0.000268942	785.431	930.286	892.398
0.000104806	3.15109e-05	686.686	889.806	956.379
0.00127612	0.000208623	712.693	843.387	732.788
1.41676e-06	1.21443e-06	179.194	525.016	558.369
0.000487363	6.87772e-05	666.686	837.013	905.908
0.000447672	0.000150901	693.587	722.406	756.519
0.000243669	6.7911e-05	822.5	937.849	923.824
0.000858249	0.00010463	652.944	987.597	945.743
0.00608357	0.000662942	883.315	889.638	909.73
0.0128903	0.000333983	639.455	718.821	732.866
0.000315801	9.65354e-05	747.716	779.559	860.432
0.000115802	1.79201e-05	426.105	564.423	558.6
0.000902675	0.000125586	755.787	921.585	932.262
0.00620982	0.000483604	603.945	605.508	637.235
0.00177911	0.000374293	725.631	729.665	766.662
0.00110075	0.000106338	361.884	415.492	398.815
0.000630087	2.269e-05	149.285	692.26	664.544
0.00197057	0.000368372	696.177	719.695	747.138
0.000705626	0.000102358	446.351	457.286	516.94
0.000117402	9.5065e-06	319.347	512.528	554.495
0.000145698	3.27941e-05	464.663	494.434	534.528
0.00047536	6.22132e-05	292.348	803.731	834.152
0.00249856	0.00031998	438.96	569.441	599.645
0.000712071	0.000132776	581.088	646.666	618.339
0.00290447	0.000351771	761.487	775.228	781.098
0.00244944	0.000388398	801.139	951.161	885.597
0.000401283	6.08786e-05	584.383	861.587	839.759
0.000980276	0.000125242	491.68	562.548	578.786
0.000115081	2.46338e-05	585.204	692.177	642.182
5.43097e-05	1.73507e-05	380.11	563.651	551.649
0.000147787	3.5387e-05	669.809	973.217	986.842
0.00165273	0.000353552	826.269	880.525	938.605
0.0613151	0.0262991	611.193	618.937	612.858
0.000676662	0.00010121	419.716	438.608	508.865
0.00104029	6.30706e-05	245.098	248.574	359.943
0.000297002	2.76178e-05	354.615	502.73	544.936
0.00809584	0.00083022	805.937	877.369	930.505
0.00120759	0.000114796	312.481	384.789	379.402
0.00017067	2.89282e-05	469.777	641.531	657.648
0.000134003	3.67821e-05	609.987	898.108	952.401
9.37641e-05	1.41846e-05	463.426	634.589	546.504
