Omega	Omega_uncer	MA1	MS1	alpha	svev
0.0760189	0.00212118	373.283	373.159	0.186978	922.073
0.000271638	1.53986e-05	242.344	440.826	0.3179	674.615
6.10889e-05	2.04063e-06	199.506	478.409	-0.917083	323.098
0.00273122	0.000233917	724.82	495.277	-0.519019	323.805
1.59159e-05	9.06361e-07	196.067	403.65	0.160909	17.1004
2.11111e-05	7.83929e-06	674.158	731	-1.26356	56.6533
11.2286	0.0522683	835.573	78.4785	-0.566488	794.389
0.161738	0.0237604	441.905	457.279	-0.0522179	531.006
2.05122e-06	6.4262e-06	780.438	695.467	0.92568	43.8525
0.0223056	0.000673383	186.293	696.437	-1.49127	396.448
2.58164e-05	9.64568e-07	224.847	550.872	-0.57317	234.163
0.0766707	0.00135132	96.1497	651.616	1.3951	652.693
0.00461485	0.00011942	105.266	545.903	-0.899833	495.799
0.133527	0.0111063	326.903	144.999	0.800842	312.06
1.34719e-05	7.65265e-07	173.477	594.621	-1.00365	75.5226
0.0422029	0.000830791	101.9	686.122	0.228226	664.243
7.78236e-05	7.36136e-06	431.589	736.829	1.16008	367.932
5.23577	0.148734	483.267	165.176	0.236951	894.683
0.0106475	0.000407146	666.049	540.791	0.55192	893.085
0.428335	0.0277847	242.407	153.545	0.740712	620.137
0.200226	0.00378222	649.448	284.649	-0.706254	949.401
3.68982e-05	5.80177e-06	379.648	144.235	1.48824	31.0781
0.0343454	0.0169523	688.856	786.342	0.0109089	155.097
2.95441e-05	9.72499e-06	522.464	449.077	0.840394	77.0429
0.0009167	2.33926e-05	235.906	528.213	1.41041	637.133
0.00955124	0.000365457	643.389	425.614	0.590524	524.847
0.000381227	5.12857e-05	916.406	935.067	-0.490655	364.287
0.0005035	2.58983e-05	138.612	76.0512	-1.01644	80.5159
0.000233494	1.31414e-05	310.7	483.583	0.830985	452.199
0.000340289	3.29039e-05	577.818	853.236	0.489908	738.495
0.00461894	0.000374995	689.578	261.981	-0.63993	160.255
6.07237e-06	4.27716e-06	661.057	680.522	-0.83063	64.7459
6.81854e-05	2.73275e-06	258.734	688.029	1.21113	185.365
0.0070093	0.000192271	163.643	893.422	1.22914	573.911
0.0357127	0.00106144	878.489	333.197	-1.29137	235.833
0.00070113	3.71188e-05	359.248	695.347	-1.5111	266.136
0.000180407	3.07718e-06	228.93	519.571	0.418699	783.728
0.000605935	4.0573e-05	422.807	453.77	0.896219	289.929
0.00315478	0.000223763	665.751	180.85	-1.1785	82.4975
0.00365849	0.000337134	811.372	540.521	-0.430021	361.114
0.000288444	1.15928e-05	278.55	789.907	-1.32608	249.386
1.31574	0.0178385	733.329	233.79	-0.376318	969.175
0.000240548	2.2983e-05	516.987	711.102	0.564852	469.688
0.00625344	0.000234137	456.449	484.079	1.13878	699.1
0.023196	1.34524e-05	53.65	756.48	0.472562	496.264
3.01946e-06	4.71213e-07	260.25	515.548	-0.256715	436.261
0.00126145	8.40877e-05	646.398	863.268	1.31249	543.614
0.0654703	0.00311192	453.789	526.58	0.0271202	281.618
0.000367446	2.14275e-05	366.488	550.105	0.636483	586.942
0.000211173	3.48739e-05	733.895	546.773	-1.22237	83.7303
0.000552669	2.84835e-05	307.875	490.554	-0.695051	790.915
0.000168455	3.76276e-05	924.634	623.302	0.748134	142.101
0.00131868	7.11752e-05	429.782	791.83	1.49499	389.171
5.56536e-05	2.82436e-06	357.378	893.582	0.488805	394.762
1.10238	0.0129392	806.849	818.842	-1.55762	573.797
1.21438	0.0587635	395.422	139.42	-0.660996	513.315
48.6724	0.540073	639.525	117.509	0.739706	992.205
0.0117319	0.000404682	614.282	623.363	-0.267313	846.517
0.0133126	0.00034847	163.917	801.421	1.29908	693.976
3.98699	0.0717886	474.722	86.186	-1.2617	651.996
0.00032731	5.29366e-05	828.016	471.575	1.23745	75.1864
0.717144	0.0212618	415.157	160.57	-0.923649	549.935
0.000366148	5.25252e-05	929.412	700.715	-0.795849	210.978
0.00929223	0.000519732	790.135	525.622	-0.436912	536.736
4.56017e-05	1.03068e-05	593.132	898.471	-0.0709984	97.2859
0.00462128	0.000192197	571.834	577.384	-0.846785	892.42
3.2437e-06	5.80327e-07	428.804	766.054	0.648393	144.825
0.00437606	0.000208253	802.24	841.136	1.23404	804.975
0.0108553	0.0003505	362.711	352.567	0.629213	786.914
3.77597	0.0544137	463.137	154.82	0.795409	906.372
0.105889	0.00438187	805.535	532.519	-0.200545	999.86
0.0161003	0.000396004	108.141	854.126	0.508485	797.294
0.11507	0.0025804	802.597	78.4116	0.528042	140.117
27.7022	0.16844	605.795	88.2588	-0.263784	898.642
0.000583438	5.69487e-05	804.313	884.484	-1.45002	123.302
0.00523652	0.000256185	775.62	696.157	0.546474	931.32
0.00239736	6.3437e-05	98.7234	302.46	-1.08793	374.859
0.000296636	3.30178e-06	407.28	866.073	0.0413991	906.981
0.000359339	2.59518e-05	448.592	721.79	-0.82793	949.393
152.177	1.07674	625.917	83.8165	0.0235046	898.419
2.7541	1.19274	112.228	116.693	-0.075	176.387
0.357727	0.00917873	154.952	63.1277	0.586512	892.269
0.0678971	0.00163258	897.612	640.749	1.42861	725.411
0.739865	0.012332	386.905	52.6284	0.779226	629.059
0.00106303	2.97107e-05	305.089	777.762	-0.224698	901.835
0.00119546	8.45776e-05	693.836	851.897	0.566775	941.712
0.00177393	0.000103795	623.687	783.67	-1.07363	916.955
0.00142747	9.8244e-05	817.487	807.168	-0.699515	666.069
0.0268746	0.000819876	873.861	631.063	1.32546	753.711
0.625403	0.00861343	644.191	350.361	-1.47022	608.989
0.0398165	0.00121658	941.11	603.898	0.320452	986.768
0.030713	0.0017166	606.526	276.597	-0.425808	350.688
0.0359115	0.000719849	104.36	711.133	1.26227	793.145
0.00439751	0.000230084	613.029	499.168	0.866366	582.622
0.000180632	1.2179e-05	332.839	589.785	-0.744499	934.092
0.0225456	0.000724109	446.953	314.438	-1.04606	540.816
3.08996e-05	1.8453e-05	895.502	677.779	-0.450942	89.845
0.0751694	0.000433274	78.1398	387.707	0.313087	389.087
0.046056	0.00126502	941.605	546.53	-1.5036	202.46
0.231198	0.00745925	773.127	210.909	0.34254	386.464
7.1169	0.0933302	872.041	133.729	1.14315	511.317
0.0358424	0.00208598	582.897	566.306	0.122419	640.007
0.00187253	8.17894e-05	206.091	358.108	1.27666	802.184
0.000550546	8.83058e-05	622.546	196.102	0.359693	74.3284
0.354201	0.0102062	823.881	373.487	0.237531	970.983
0.00416045	0.00022562	711.194	389.236	1.22878	176.092
0.205897	0.00395641	885.766	318.535	0.707902	912.61
2.28894e-05	3.59733e-06	479.443	810.675	0.729174	335.032
