sqrts	xsec	
329.095	6.43596e-07	
329.102	6.42978e-07	
329.109	6.42362e-07	
329.115	6.41749e-07	
329.122	6.41137e-07	
329.129	6.40527e-07	
329.136	6.39919e-07	
329.142	6.39313e-07	
329.149	6.38709e-07	
329.156	6.38106e-07	
329.163	6.37506e-07	
329.169	6.36907e-07	
329.176	6.36311e-07	
329.183	6.35716e-07	
329.19	6.35123e-07	
329.196	6.34532e-07	
329.203	6.33943e-07	
329.21	6.33355e-07	
329.217	6.3277e-07	
329.223	6.32186e-07	
329.23	6.31604e-07	
329.237	6.31023e-07	
329.244	6.30445e-07	
329.25	6.29868e-07	
329.257	6.29293e-07	
329.264	6.2872e-07	
329.27	6.28149e-07	
329.277	6.27579e-07	
329.284	6.27011e-07	
329.291	6.26444e-07	
329.297	6.2588e-07	
329.304	6.25317e-07	
329.311	6.24756e-07	
329.318	6.24196e-07	
329.324	6.23638e-07	
329.331	6.23082e-07	
329.338	6.22528e-07	
329.345	6.21975e-07	
329.351	6.21423e-07	
329.358	6.20874e-07	
329.365	6.20326e-07	
329.372	6.19779e-07	
329.378	6.19234e-07	
329.385	6.18691e-07	
329.392	6.1815e-07	
329.399	6.1761e-07	
329.405	6.17071e-07	
329.412	6.16534e-07	
329.419	6.15999e-07	
329.426	6.15465e-07	
329.432	6.14933e-07	
329.439	6.14403e-07	
329.446	6.13873e-07	
329.453	6.13346e-07	
329.459	6.1282e-07	
329.466	6.12295e-07	
329.473	6.11772e-07	
329.479	6.11251e-07	
329.486	6.10731e-07	
329.493	6.10212e-07	
329.5	6.09695e-07	
329.506	6.09179e-07	
329.513	6.08665e-07	
329.52	6.08152e-07	
329.527	6.07641e-07	
329.533	6.07131e-07	
329.54	6.06623e-07	
329.547	6.06116e-07	
329.554	6.0561e-07	
329.56	6.05106e-07	
329.567	6.04604e-07	
329.574	6.04102e-07	
329.581	6.03602e-07	
329.587	6.03104e-07	
329.594	6.02607e-07	
329.601	6.02111e-07	
329.608	6.01617e-07	
329.614	6.01124e-07	
329.621	6.00632e-07	
329.628	6.00142e-07	
329.635	5.99653e-07	
329.641	5.99165e-07	
329.648	5.98679e-07	
329.655	5.98194e-07	
329.661	5.97711e-07	
329.668	5.97228e-07	
329.675	5.96747e-07	
329.682	5.96268e-07	
329.688	5.95789e-07	
329.695	5.95312e-07	
329.702	5.94837e-07	
329.709	5.94362e-07	
329.715	5.93889e-07	
329.722	5.93417e-07	
329.729	5.92946e-07	
329.736	5.92477e-07	
329.742	5.92009e-07	
329.749	5.91542e-07	
329.756	5.91076e-07	
329.763	5.90612e-07	
329.769	5.90149e-07	
329.776	5.89687e-07	
329.783	5.89226e-07	
329.79	5.88767e-07	
329.796	5.88309e-07	
329.803	5.87851e-07	
329.81	5.87396e-07	
329.817	5.86941e-07	
329.823	5.86488e-07	
329.83	5.86035e-07	
329.837	5.85584e-07	
329.844	5.85134e-07	
329.85	5.84686e-07	
329.857	5.84238e-07	
329.864	5.83792e-07	
329.87	5.83346e-07	
329.877	5.82902e-07	
329.884	5.82459e-07	
329.891	5.82017e-07	
329.897	5.81577e-07	
329.904	5.81137e-07	
329.911	5.80699e-07	
329.918	5.80262e-07	
329.924	5.79826e-07	
329.931	5.79391e-07	
329.938	5.78957e-07	
329.945	5.78524e-07	
329.951	5.78092e-07	
329.958	5.77661e-07	
329.965	5.77232e-07	
329.972	5.76804e-07	
329.978	5.76376e-07	
329.985	5.7595e-07	
329.992	5.75525e-07	
329.999	5.75101e-07	
330.005	5.74678e-07	
330.012	5.74256e-07	
330.019	5.73835e-07	
330.026	5.73415e-07	
330.032	5.72996e-07	
330.039	5.72578e-07	
330.046	5.72162e-07	
330.053	5.71746e-07	
330.059	5.71331e-07	
330.066	5.70918e-07	
330.073	5.70505e-07	
330.079	5.70093e-07	
330.086	5.69683e-07	
330.093	5.69273e-07	
330.1	5.68865e-07	
330.106	5.68457e-07	
330.113	5.68051e-07	
330.12	5.67645e-07	
330.127	5.6724e-07	
330.133	5.66837e-07	
330.14	5.66434e-07	
330.147	5.66033e-07	
330.154	5.65632e-07	
330.16	5.65232e-07	
330.167	5.64834e-07	
330.174	5.64436e-07	
330.181	5.64039e-07	
330.187	5.63644e-07	
330.194	5.63249e-07	
330.201	5.62855e-07	
330.208	5.62462e-07	
330.214	5.6207e-07	
330.221	5.61679e-07	
330.228	5.61289e-07	
330.235	5.60899e-07	
330.241	5.60511e-07	
330.248	5.60124e-07	
330.255	5.59737e-07	
330.261	5.59352e-07	
330.268	5.58967e-07	
330.275	5.58584e-07	
330.282	5.58201e-07	
330.288	5.57819e-07	
330.295	5.57438e-07	
330.302	5.57058e-07	
330.309	5.56679e-07	
330.315	5.56301e-07	
330.322	5.55923e-07	
330.329	5.55547e-07	
330.336	5.55171e-07	
330.342	5.54796e-07	
330.349	5.54422e-07	
330.356	5.54049e-07	
330.363	5.53677e-07	
330.369	5.53306e-07	
330.376	5.52936e-07	
330.383	5.52566e-07	
330.39	5.52197e-07	
330.396	5.51829e-07	
330.403	5.51462e-07	
330.41	5.51096e-07	
330.417	5.50731e-07	
330.423	5.50367e-07	
330.43	5.50003e-07	
330.437	5.4964e-07	
330.444	5.49278e-07	
330.45	5.48917e-07	
330.457	5.48557e-07	
330.464	5.48197e-07	
330.47	5.47838e-07	
330.477	5.4748e-07	
330.484	5.47123e-07	
330.491	5.46767e-07	
330.497	5.46412e-07	
330.504	5.46057e-07	
330.511	5.45703e-07	
330.518	5.4535e-07	
330.524	5.44998e-07	
330.531	5.44646e-07	
330.538	5.44296e-07	
330.545	5.43946e-07	
330.551	5.43597e-07	
330.558	5.43248e-07	
330.565	5.42901e-07	
330.572	5.42554e-07	
330.578	5.42208e-07	
330.585	5.41863e-07	
330.592	5.41518e-07	
330.599	5.41175e-07	
330.605	5.40832e-07	
330.612	5.40489e-07	
330.619	5.40148e-07	
330.626	5.39807e-07	
330.632	5.39467e-07	
330.639	5.39128e-07	
330.646	5.3879e-07	
330.653	5.38452e-07	
330.659	5.38115e-07	
330.666	5.37779e-07	
330.673	5.37443e-07	
330.679	5.37109e-07	
330.686	5.36775e-07	
330.693	5.36441e-07	
330.7	5.36109e-07	
330.706	5.35777e-07	
330.713	5.35446e-07	
330.72	5.35115e-07	
330.727	5.34785e-07	
330.733	5.34456e-07	
330.74	5.34128e-07	
330.747	5.33801e-07	
330.754	5.33474e-07	
330.76	5.33147e-07	
330.767	5.32822e-07	
330.774	5.32497e-07	
330.781	5.32173e-07	
330.787	5.3185e-07	
330.794	5.31527e-07	
330.801	5.31205e-07	
330.808	5.30884e-07	
330.814	5.30563e-07	
330.821	5.30243e-07	
330.828	5.29924e-07	
330.835	5.29605e-07	
330.841	5.29287e-07	
330.848	5.2897e-07	
330.855	5.28653e-07	
330.861	5.28337e-07	
330.868	5.28022e-07	
330.875	5.27707e-07	
330.882	5.27393e-07	
330.888	5.2708e-07	
330.895	5.26767e-07	
330.902	5.26455e-07	
330.909	5.26144e-07	
330.915	5.25833e-07	
330.922	5.25523e-07	
330.929	5.25214e-07	
330.936	5.24905e-07	
330.942	5.24597e-07	
330.949	5.24289e-07	
330.956	5.23983e-07	
330.963	5.23676e-07	
330.969	5.23371e-07	
330.976	5.23066e-07	
330.983	5.22762e-07	
330.99	5.22458e-07	
330.996	5.22155e-07	
331.003	5.21852e-07	
331.01	5.2155e-07	
331.017	5.21249e-07	
331.023	5.20949e-07	
331.03	5.20649e-07	
331.037	5.20349e-07	
331.044	5.2005e-07	
331.05	5.19752e-07	
331.057	5.19455e-07	
331.064	5.19158e-07	
331.07	5.18861e-07	
331.077	5.18566e-07	
331.084	5.1827e-07	
331.091	5.17976e-07	
331.097	5.17682e-07	
331.104	5.17389e-07	
331.111	5.17096e-07	
331.118	5.16804e-07	
331.124	5.16512e-07	
331.131	5.16221e-07	
331.138	5.1593e-07	
331.145	5.15641e-07	
331.151	5.15351e-07	
331.158	5.15063e-07	
331.165	5.14774e-07	
331.172	5.14487e-07	
331.178	5.142e-07	
331.185	5.13913e-07	
331.192	5.13628e-07	
331.199	5.13342e-07	
331.205	5.13058e-07	
331.212	5.12773e-07	
331.219	5.1249e-07	
331.226	5.12207e-07	
331.232	5.11924e-07	
331.239	5.11642e-07	
331.246	5.11361e-07	
331.253	5.1108e-07	
331.259	5.108e-07	
331.266	5.1052e-07	
331.273	5.10241e-07	
331.279	5.09962e-07	
