Omega	mmH1	mmH2	mmH3	mmA0	mmHch	aDM	lam2	lam8	m22	vs	WH1	WH2
0.000112857	48.3678	125.09	634.405	590.842	651.737	1.55389	0.171455	21.1504	168.682	156.944	1.21199e-05	0.00522841
0.000495464	125.09	681.422	786.54	668.571	798.549	-0.119021	3.62656	0.395805	555.057	935.338	0.00513445	3.17402
0.000999838	125.09	511.807	725.736	723.302	784.463	-0.142099	2.07476	9.26468	413.498	257.271	0.0051047	1.9669
0.00018773	125.09	876.134	842.76	942.136	981.888	0.251712	3.81237	6.46203	341.981	400.791	0.0048951	26.3975
0.000194161	125.09	236.224	675.385	793.517	790.251	0.0678354	2.35094	4.2473	559.828	208.697	0.00518191	0.0145092
0.0102883	125.09	249.895	702.647	663.005	665.881	0.0420776	2.29927	0.0706248	615.666	1274.84	0.00519602	0.00711348
0.000622111	125.09	656.437	602.198	543.768	586.852	0.0514587	3.74452	-1.51207	596.962	361.481	0.00519164	0.518519
0.000565357	51.5031	125.09	592.067	628.757	669.853	1.55226	3.01022	1.7143	521.642	239.026	1.46919e-05	0.00510655
0.00136905	125.09	300.999	909.482	841.666	848.133	-0.196522	4.47868	4.39425	518.438	410.421	0.00501447	0.523962
0.00452009	125.09	531.281	717.946	712.793	773.386	0.188415	8.12406	2.13408	584.803	420.521	0.00502967	3.40099
0.000114118	125.09	408.896	720.409	672.689	779.336	-0.063031	1.52747	12.4408	467.425	141.641	0.00518504	0.17814
5.25226e-05	125.09	684.453	625.279	751.817	764.415	-0.17765	0.517847	4.75864	165.658	285.698	0.00504891	7.5021
0.000147812	125.09	722.104	805.417	654.282	829.077	-0.187915	0.313439	1.84267	492.77	417.601	0.00503059	9.6019
7.96753e-05	125.09	389.609	665.397	370.684	662.885	0.00225631	3.61108	-0.0453146	348.109	838.377	0.00520483	0.000177756
0.000246699	125.09	774.84	814.058	878.968	889.29	-0.273094	0.133167	0.677678	684.806	521.178	0.0048416	24.3572
0.000949833	125.09	366.832	897.115	820.643	895.072	-0.0662035	6.77054	0.830839	392.145	1125.78	0.005183	0.120827
0.000319136	125.09	535.056	783.275	630.332	796.643	0.0115188	6.89661	2.67031	561.217	302.089	0.00520419	0.0140509
0.000124291	125.09	639.575	576.441	659.311	703.988	0.0255691	3.48349	-1.109	616.297	503.214	0.00520159	0.119882
0.00020699	125.09	882.176	408.104	400.159	437.949	0.320013	6.84699	0.73064	102.166	763.473	0.0047107	48.4585
0.000184288	125.09	475.969	671.71	477.357	690.853	-0.0320887	1.50407	6.61164	384.63	168.783	0.00519971	0.0765514
0.000118871	125.09	127.16	533.513	593.294	581.992	0.21835	4.36159	11.5632	481.01	47.9605	0.00497054	0.000238239
0.000514444	125.09	859.506	247.774	338.936	321.02	-0.0311468	1.30701	-0.863873	389.299	477.559	0.00520001	5.60252
0.000122149	125.09	275.704	479.51	653.577	644.105	-0.0214745	1.41958	-3.12152	452.917	78.4043	0.00520255	0.00429008
0.0143174	125.09	942.262	786.887	771.034	794.875	0.0631423	4.69053	2.55034	535.46	490.015	0.00518497	2.27005
0.000296457	125.09	622.931	715.931	808.191	791.858	-0.0694359	5.75366	0.799858	483.307	739.155	0.00518082	0.828034
0.000996219	115.743	125.09	677.388	837.282	679.633	-1.40504	7.6081	0.0316485	664.906	1407.46	0.000291544	0.00485756
8.29342e-05	125.09	857.762	490.343	619.057	623.735	0.069795	2.62107	-1.92576	670.056	543.135	0.00518057	2.10445
0.000896828	125.09	935.087	814.921	776.268	821.175	-0.130984	4.16986	0.822805	359.034	1022.55	0.00511967	9.74326
