Omega	Omega_uncer	MA1	MS1	svev	alpha
0.120583	2.54104e-06	326	205	439.209	0.2
0.120176	2.95735e-06	327	205	438.28	0.2
0.120581	3.18032e-06	328	205	438.28	0.2
0.120989	3.23364e-06	329	205	438.28	0.2
0.120263	1.30612e-06	330	205	436.978	0.2
0.120672	1.34016e-06	331	205	436.978	0.2
0.120213	1.3654e-06	332	205	435.993	0.2
0.120623	1.40075e-06	333	205	435.993	0.2
0.120175	1.42308e-06	334	205	435.052	0.2
0.120613	1.45752e-06	335	205	435.052	0.2
0.120171	1.47898e-06	336	205	434.122	0.2
0.120551	2.27308e-06	337	205	434.122	0.2
0.120169	1.53267e-06	338	205	433.195	0.2
0.120583	1.56346e-06	339	205	433.195	0.2
0.120168	1.58205e-06	340	205	432.268	0.2
0.120583	1.61028e-06	341	205	432.268	0.2
0.121	1.63683e-06	342	205	432.268	0.2
0.120253	2.07601e-06	343	205	430.966	0.2
0.120669	1.83363e-06	344	205	430.966	0.2
0.120204	1.69226e-06	345	205	429.988	0.2
0.120621	1.77219e-06	346	205	429.988	0.2
0.120192	2.01029e-06	347	205	429.056	0.2
0.120611	2.20617e-06	348	205	429.056	0.2
0.120162	2.19665e-06	349	205	428.134	0.2
