sqrts	xsec	
371.537	1.42119e-06	
371.633	1.42039e-06	
371.73	1.41959e-06	
371.827	1.41879e-06	
371.924	1.418e-06	
372.02	1.41721e-06	
372.117	1.41642e-06	
372.214	1.41564e-06	
372.311	1.41486e-06	
372.407	1.41409e-06	
372.504	1.41332e-06	
372.601	1.41255e-06	
372.698	1.41178e-06	
372.794	1.41102e-06	
372.891	1.41026e-06	
372.988	1.40951e-06	
373.085	1.40876e-06	
373.181	1.40801e-06	
373.278	1.40727e-06	
373.375	1.40653e-06	
373.472	1.40579e-06	
373.568	1.40506e-06	
373.665	1.40432e-06	
373.762	1.4036e-06	
373.859	1.40287e-06	
373.955	1.40215e-06	
374.052	1.40143e-06	
374.149	1.40072e-06	
374.246	1.40001e-06	
374.342	1.3993e-06	
374.439	1.39859e-06	
374.536	1.39789e-06	
374.633	1.39719e-06	
374.729	1.3965e-06	
374.826	1.39581e-06	
374.923	1.39512e-06	
375.02	1.39443e-06	
375.116	1.39375e-06	
375.213	1.39307e-06	
375.31	1.39239e-06	
375.407	1.39172e-06	
375.503	1.39104e-06	
375.6	1.39038e-06	
375.697	1.38971e-06	
375.794	1.38905e-06	
375.89	1.38839e-06	
375.987	1.38773e-06	
376.084	1.38708e-06	
376.181	1.38643e-06	
376.277	1.38578e-06	
376.374	1.38514e-06	
376.471	1.3845e-06	
376.568	1.38386e-06	
376.664	1.38322e-06	
376.761	1.38259e-06	
376.858	1.38196e-06	
376.955	1.38133e-06	
377.051	1.3807e-06	
377.148	1.38008e-06	
377.245	1.37946e-06	
377.342	1.37885e-06	
377.438	1.37823e-06	
377.535	1.37762e-06	
377.632	1.37701e-06	
377.729	1.37641e-06	
377.825	1.37581e-06	
377.922	1.37521e-06	
378.019	1.37461e-06	
378.116	1.37401e-06	
378.212	1.37342e-06	
378.309	1.37283e-06	
378.406	1.37224e-06	
378.503	1.37166e-06	
378.599	1.37108e-06	
378.696	1.3705e-06	
378.793	1.36992e-06	
378.89	1.36935e-06	
378.986	1.36878e-06	
379.083	1.36821e-06	
379.18	1.36764e-06	
379.277	1.36708e-06	
379.373	1.36652e-06	
379.47	1.36596e-06	
379.567	1.3654e-06	
379.664	1.36485e-06	
379.76	1.3643e-06	
379.857	1.36375e-06	
379.954	1.3632e-06	
380.051	1.36266e-06	
380.147	1.36212e-06	
380.244	1.36158e-06	
380.341	1.36104e-06	
380.438	1.36051e-06	
380.534	1.35998e-06	
380.631	1.35945e-06	
380.728	1.35892e-06	
380.825	1.3584e-06	
380.921	1.35788e-06	
381.018	1.35736e-06	
381.115	1.35684e-06	
381.212	1.35632e-06	
381.308	1.35581e-06	
381.405	1.3553e-06	
381.502	1.35479e-06	
381.599	1.35429e-06	
381.695	1.35378e-06	
381.792	1.35328e-06	
381.889	1.35278e-06	
381.986	1.35229e-06	
382.082	1.35179e-06	
382.179	1.3513e-06	
382.276	1.35081e-06	
382.373	1.35032e-06	
382.469	1.34984e-06	
382.566	1.34935e-06	
382.663	1.34887e-06	
382.76	1.34839e-06	
382.856	1.34792e-06	
382.953	1.34744e-06	
383.05	1.34697e-06	
383.147	1.3465e-06	
383.243	1.34603e-06	
383.34	1.34557e-06	
383.437	1.3451e-06	
383.534	1.34464e-06	
383.63	1.34418e-06	
383.727	1.34372e-06	
383.824	1.34327e-06	
383.921	1.34281e-06	
384.017	1.34236e-06	
384.114	1.34191e-06	
384.211	1.34147e-06	
384.308	1.34102e-06	
384.404	1.34058e-06	
384.501	1.34014e-06	
384.598	1.3397e-06	
384.695	1.33926e-06	
384.791	1.33883e-06	
384.888	1.33839e-06	
384.985	1.33796e-06	
385.082	1.33754e-06	
385.178	1.33711e-06	
385.275	1.33668e-06	
385.372	1.33626e-06	
385.469	1.33584e-06	
385.565	1.33542e-06	
385.662	1.335e-06	
385.759	1.33459e-06	
385.856	1.33418e-06	
385.952	1.33377e-06	
386.049	1.33336e-06	
386.146	1.33295e-06	
386.243	1.33254e-06	
386.339	1.33214e-06	
386.436	1.33174e-06	
386.533	1.33134e-06	
386.63	1.33094e-06	
386.726	1.33055e-06	
386.823	1.33015e-06	
386.92	1.32976e-06	
387.017	1.32937e-06	
