Omega	Omega_err	MA1	MS1	svev	alpha
0.0261816	0.00075242	573.306	458.309	311.474	-1.448
0.0494739	0.00138779	291.715	336.639	707.362	-0.156393
0.0328528	0.000852301	611.319	55.9838	100.714	-0.494165
0.00304297	0.000125649	403.935	532.663	545.934	-0.230409
3.78125e-06	4.06799e-07	387.367	835.42	50.7222	0.452908
0.0124772	0.000463613	694.718	494.177	806.051	0.690057
0.0175187	0.000592701	914.266	598.416	964.052	0.554522
0.034099	0.000725194	107.079	822.111	547.569	1.35555
1.12906e-05	1.20381e-06	330.42	659.878	970.602	0.455127
0.00173547	0.000180105	946.516	225.414	95.995	0.251799
6.47199e-06	3.54961e-07	231.397	471.499	922.93	0.376417
0.00736092	8.06663e-06	54.1622	136.623	47.4291	0.297868
1.02405	0.017622	922.043	90.3521	239.74	-0.378634
0.00901243	0.000486744	534.529	106.831	100.03	0.582104
0.904225	0.0147951	655.247	868.024	362.438	-0.004205
0.00926971	0.000359081	740.135	410.646	430.715	0.741155
0.00707754	0.000188626	120.523	478.291	381.408	-1.32451
0.0176234	0.000543398	653.704	573.257	658.886	-1.33678
0.0224917	0.000460149	94.7562	716.703	694.612	1.16973
0.0120493	0.000438834	803.326	685.516	467.682	-1.40004
0.00319271	0.000206121	725.868	529.664	434.397	0.96122
0.000197667	2.35005e-05	586.494	817.749	491.764	-0.661839
0.365006	0.00644521	735.773	246.323	788.204	-0.726961
2.12751e-09	1.55234e-07	606.969	396.776	5.51356	0.0904347
0.129899	0.00259863	825.066	289.152	607.573	0.619566
0.200209	0.0183701	812.409	469.408	771.931	0.100429
0.00103007	2.92781e-05	236.111	834.307	404.898	1.24674
0.361841	0.00582355	569.823	396.531	951.253	-1.43313
0.128529	0.00296464	876.195	356.936	849.935	-0.538641
0.00702394	0.000308762	224.685	415.28	618.258	0.0442945
0.0144326	0.000452885	611.604	758.497	782.918	1.43277
0.542444	0.0982246	205.273	132.828	485.366	-0.807833
0.00331763	0.000146639	371.98	690.598	940.133	-1.46489
0.0010332	3.41242e-05	210.006	922.982	566.112	-0.927157
0.0313854	0.000986654	807.289	97.6379	102.625	-0.362621
0.0336449	0.00302026	444.169	300.361	428.965	-0.254427
0.0416917	0.00133723	607.297	378.891	747.811	-0.452514
0.00595944	0.000278688	744.171	637.484	870.19	0.984303
0.140951	0.00524299	445.981	278.806	769.609	-0.328909
0.000580867	3.18653e-05	361.635	570.413	638.526	0.353441
0.0388907	0.00104968	311.011	240.702	646.568	0.640936
9.87614	0.15988	213.685	59.5582	908.984	-0.101172
0.202883	0.00280647	107.196	302.687	852.518	-1.49758
0.254362	0.0190927	553.048	220.889	442.875	0.00476599
0.00148628	8.52269e-05	549.779	704.784	857.62	-1.01109
6.33271e-05	6.55091e-06	392.268	734.767	991.482	-0.544716
0.014578	0.000756365	63.5734	374.072	722.195	1.00618
4.78438	0.0637204	894.485	121.094	433.347	-0.435607
1.83984e-06	1.42663e-07	311.797	926.826	66.293	-0.853481
0.119042	0.0135769	936.384	543.645	696.428	-0.0855873
0.00535423	0.000246128	796.332	894.541	496.565	-1.41867
0.000689494	1.73964e-05	165.43	416.676	550.39	-0.351232
0.00123822	3.90469e-05	171.459	552.05	566.793	0.576688
0.00268636	0.000158601	336.817	708.884	11.1668	0.0479156
0.00114471	3.81954e-05	132.957	741.477	336.193	-0.522235
0.0574297	0.00133382	812.572	734.421	695.414	-1.47501
0.000132425	2.24862e-05	711.247	909.449	259.561	-1.13667
2.43198	0.0523287	503.094	146.304	611.333	0.689865
0.0157708	0.000321462	90.8449	336.158	768.246	-0.525602
0.11728	0.00238879	702.834	308.529	721.174	-1.0253
0.00343501	0.000170978	810.58	830.643	857.347	1.132
0.000509675	4.63573e-05	589.527	689.995	376.202	-1.05628
0.0988473	0.00273642	481.472	223.386	498.044	0.602081
0.00133026	0.00010104	907.807	932.863	722.417	-0.54439
6.32478	0.0783158	892.312	118.261	465.437	0.590111
0.0836122	0.00761594	214.565	207.898	408.022	-0.190568
0.00497154	0.000191146	494.057	493.638	772.264	-0.85378
0.0505219	0.00139553	752.167	283.168	402.47	-0.883519
4.46079e-05	1.88258e-06	163.811	459.203	80.0134	0.393562
0.00253022	9.58098e-05	199.198	307.932	789.26	0.709782
0.258006	0.0107993	481.318	175.747	418.162	0.456125
0.00923958	0.000217599	158.609	443.126	971.933	-0.212494
0.000829358	5.21169e-05	511.387	524.866	121.079	-1.39305
0.0548687	0.00134876	682.764	291.16	496.424	0.61419
0.113075	0.0024531	734.798	343.047	923.812	-0.953575
0.0178004	0.000835154	576.215	494.895	415.82	0.129034
3.82172e-05	1.5022e-05	904.098	909.857	167.181	0.663315
0.000570054	1.98138e-05	267.789	819.185	437.633	-1.21023
0.00455849	0.000256502	944.931	708.68	760.202	0.695012
0.000289134	1.7882e-05	201.806	296.411	154.437	-1.20937
0.000148624	4.12323e-05	771.277	650.79	172.453	0.569651
0.0791074	0.00599009	891.95	320.508	377.451	0.0141055
3.57456	0.0468686	613.555	154.573	701.257	0.616967
0.00191544	0.00014276	599.468	413.426	238.222	-0.908374
0.0760189	0.00212118	373.283	373.159	922.073	0.186978
0.000271638	1.53986e-05	242.344	440.826	674.615	0.3179
6.10889e-05	2.04063e-06	199.506	478.409	323.098	-0.917083
0.00273122	0.000233917	724.82	495.277	323.805	-0.519019
1.59159e-05	9.06361e-07	196.067	403.65	17.1004	0.160909
2.11111e-05	7.83929e-06	674.158	731	56.6533	-1.26356
11.2286	0.0522683	835.573	78.4785	794.389	-0.566488
0.161738	0.0237604	441.905	457.279	531.006	-0.0522179
2.05122e-06	6.4262e-06	780.438	695.467	43.8525	0.92568
0.0223056	0.000673383	186.293	696.437	396.448	-1.49127
2.58164e-05	9.64568e-07	224.847	550.872	234.163	-0.57317
0.0766707	0.00135132	96.1497	651.616	652.693	1.3951
0.00461485	0.00011942	105.266	545.903	495.799	-0.899833
0.133527	0.0111063	326.903	144.999	312.06	0.800842
1.34719e-05	7.65265e-07	173.477	594.621	75.5226	-1.00365
0.0422029	0.000830791	101.9	686.122	664.243	0.228226
7.78236e-05	7.36136e-06	431.589	736.829	367.932	1.16008
5.23577	0.148734	483.267	165.176	894.683	0.236951
0.0106475	0.000407146	666.049	540.791	893.085	0.55192
0.428335	0.0277847	242.407	153.545	620.137	0.740712
0.200226	0.00378222	649.448	284.649	949.401	-0.706254
3.68982e-05	5.80177e-06	379.648	144.235	31.0781	1.48824
0.0343454	0.0169523	688.856	786.342	155.097	0.0109089
2.95441e-05	9.72499e-06	522.464	449.077	77.0429	0.840394
0.0009167	2.33926e-05	235.906	528.213	637.133	1.41041
0.00955124	0.000365457	643.389	425.614	524.847	0.590524
0.000381227	5.12857e-05	916.406	935.067	364.287	-0.490655
0.0005035	2.58983e-05	138.612	76.0512	80.5159	-1.01644
0.000233494	1.31414e-05	310.7	483.583	452.199	0.830985
0.000340289	3.29039e-05	577.818	853.236	738.495	0.489908
0.00461894	0.000374995	689.578	261.981	160.255	-0.63993
6.07237e-06	4.27716e-06	661.057	680.522	64.7459	-0.83063
6.81854e-05	2.73275e-06	258.734	688.029	185.365	1.21113
0.0070093	0.000192271	163.643	893.422	573.911	1.22914
0.0357127	0.00106144	878.489	333.197	235.833	-1.29137
0.00070113	3.71188e-05	359.248	695.347	266.136	-1.5111
0.000180407	3.07718e-06	228.93	519.571	783.728	0.418699
0.000605935	4.0573e-05	422.807	453.77	289.929	0.896219
0.00315478	0.000223763	665.751	180.85	82.4975	-1.1785
0.00365849	0.000337134	811.372	540.521	361.114	-0.430021
0.000288444	1.15928e-05	278.55	789.907	249.386	-1.32608
1.31574	0.0178385	733.329	233.79	969.175	-0.376318
0.000240548	2.2983e-05	516.987	711.102	469.688	0.564852
0.00625344	0.000234137	456.449	484.079	699.1	1.13878
0.023196	1.34524e-05	53.65	756.48	496.264	0.472562
3.01946e-06	4.71213e-07	260.25	515.548	436.261	-0.256715
