Omega	Omega_err	mH1	mH2
0.000298012	1.01221e-06	622.954	827.521
0.000132586	4.34779e-07	341.565	756.572
0.00127646	1.62063e-06	648.078	687.127
0.000906349	3.32262e-06	686.68	941.355
0.021205	0.000110003	594.65	939.229
0.00125943	2.44512e-06	785.431	930.286
0.000104653	3.16925e-07	686.686	889.806
0.00127467	3.27024e-06	712.693	843.387
1.41518e-06	2.66523e-09	179.194	525.016
0.000486688	1.63892e-06	666.686	837.013
0.000446847	2.88682e-06	693.587	722.406
0.000243387	1.59241e-07	822.5	937.849
0.000856951	3.13991e-06	652.944	987.597
0.00607572	1.55697e-05	883.315	889.638
0.01285	0.000132968	639.455	718.821
0.000315496	4.33358e-07	747.716	779.559
0.000115658	3.4942e-07	426.105	564.423
0.000901229	2.92218e-06	755.787	921.585
0.0062021	1.78892e-05	603.945	605.508
0.00177763	2.52173e-06	725.631	729.665
0.00109957	1.35321e-06	361.884	415.492
0.000629009	2.49749e-06	149.285	692.26
0.00196845	2.50702e-06	696.177	719.695
0.000704814	1.51713e-06	446.351	457.286
0.000117232	3.63758e-07	319.347	512.528
0.000145549	1.48834e-07	464.663	494.434
0.000474546	1.74949e-06	292.348	803.731
0.00249506	1.06416e-05	438.96	569.441
0.000711164	2.2454e-06	581.088	646.666
0.00290048	8.54126e-06	761.487	775.228
0.00244654	5.56989e-06	801.139	951.161
0.000400766	1.37556e-06	584.383	861.587
0.000978828	2.46756e-06	491.68	562.548
0.000114981	1.00274e-07	585.204	692.177
5.42236e-05	1.538e-07	380.11	563.651
0.000147605	4.57418e-07	669.809	973.217
0.00164983	1.56185e-05	826.269	880.525
0.059747	0.000241381	611.193	618.937
0.000675841	1.40144e-06	419.716	438.608
0.00103883	3.27973e-06	245.098	248.574
0.000296516	1.02173e-06	354.615	502.73
0.0080836	2.83302e-05	805.937	877.369
0.00120556	4.17512e-06	312.481	384.789
0.000170404	5.47999e-07	469.777	641.531
0.000133807	4.16962e-07	609.987	898.108
9.36384e-05	2.49732e-07	463.426	634.589
0.000270403	1.21405e-06	780.325	889.113
0.00100856	1.05185e-06	401.312	474.209
0.0252687	6.22515e-05	963.612	972.859
0.0150579	6.87283e-05	778.241	982.794
1.14081e-05	2.45357e-08	232.976	734.281
0.000489107	1.69243e-06	625.273	828.18
0.00396433	1.62772e-05	545.592	721.157
0.0011983	3.18044e-06	663.886	664.276
0.00152611	1.24417e-05	401.172	437.136
0.00139662	2.13774e-06	664.038	718.811
0.000566123	2.03844e-06	297.166	384.026
0.000476573	1.68781e-06	445.515	574.956
0.000254715	8.5831e-07	350.49	722.485
0.000230303	5.26479e-07	779.159	826.91
0.000245388	1.71276e-06	467.133	564.468
0.00415565	2.26394e-05	145.324	220.639
0.00708196	2.97289e-05	736.453	925.091
0.000207433	6.37514e-07	306.811	392.938
0.00109744	3.35599e-06	378.145	442.171
0.00140335	3.54686e-06	478.035	479.906
0.000687737	2.0675e-06	732.821	895.271
0.000609824	1.82987e-06	570.007	572.949
0.000458069	1.50595e-06	685.16	841.941
0.00177517	4.24658e-06	776.959	867.858
0.00657596	6.80035e-05	885.553	913.314
1.50956e-05	5.35219e-08	125.685	512.998
0.00243289	8.48871e-06	170.024	198.055
9.37545e-05	1.07596e-07	549.299	587.899
0.00423915	1.49954e-05	700.531	700.64
0.01908	9.36804e-05	656.136	917.434
0.0172071	5.62771e-05	838.279	973.205
0.0003828	1.31562e-06	562.928	708.121
0.0119433	4.85003e-05	531.134	562.307
0.000838835	3.29834e-06	610.648	611.589
0.000193563	6.28613e-07	551.084	680.734
0.0013758	1.52551e-06	850.623	905.131
0.000359556	9.59497e-07	650.132	682.023
0.0270461	0.000216502	881.487	940.81
0.000220538	1.39103e-06	650.939	712.364
0.000337126	1.09215e-06	343.592	457.156
0.000168443	5.31571e-07	339.579	609.726
0.000250013	7.32441e-07	527.607	624.331
0.000330578	1.77043e-06	834.487	945.491
0.000760404	2.88197e-06	411.127	511.678
6.28731e-05	1.80592e-07	471.647	954.445
0.00211012	1.11767e-05	104.933	629.947
0.000236229	7.88168e-07	269.866	687.26
0.0126291	6.51707e-05	392.795	854.321
0.0002583	1.32229e-06	585.647	615.892
0.00313985	1.34573e-05	347.054	715.335
0.00030904	7.43648e-07	621.112	769.206
0.00130819	6.54756e-06	460.269	485.497
0.000412893	1.35314e-06	326.656	559.51
0.00295838	5.0928e-06	723.264	763.065
0.000289019	9.69189e-07	645.157	905.219
0.000913339	3.5986e-06	550.278	676.674
0.000725933	1.14337e-06	616.966	730.046
