Omega	mmH3
1.60956e-05	930.192
2.42573e-05	878.168
3.39311e-05	586.98
4.5691e-05	448.856
2.98147e-05	563.426
2.37728e-05	916.165
2.66676e-05	789.858
2.77364e-05	739.894
3.12614e-05	794.742
2.78467e-05	469.765
1.86959e-05	685.63
0.00014656	327.329
2.45311e-05	662.542
1.4181e-05	766.654
1.24637e-05	126.235
3.90883e-05	401.854
7.02221e-05	530.162
1.15475e-05	872.127
4.89439e-05	343.521
0.00573201	98.0695
7.72508e-05	305.702
1.95552e-05	732.124
3.42063e-05	475.077
8.06557e-05	459.056
3.53163e-05	414.978
2.45804e-05	876.02
5.03433e-05	520.429
4.70384e-05	633.893
2.81989e-05	699.805
3.07942e-06	179.168
3.71548e-05	594.145
3.6858e-05	478.199
5.37805e-06	156.775
3.30738e-05	620.208
3.95538e-05	757.445
0.00470846	110.704
3.17806e-05	575.937
5.67848e-05	382.501
0.000157895	219.955
0.000153772	233.742
0.00105531	122.39
0.000111206	447.44
0.00130824	96.1412
0.000237736	90.7338
4.67022e-05	482.359
7.37574e-05	330.723
1.88588e-05	768.363
0.000126899	229.925
3.14285e-05	912.698
8.52401e-05	302.823
9.24117e-06	189.626
0.000571668	83.1757
4.13619e-05	463.229
2.94288e-05	723.96
1.86885e-05	698.421
2.0856e-05	499.203
4.60856e-05	684.905
0.000136669	271.113
0.000142935	299.704
1.88419e-05	747.78
1.22433e-05	144.77
2.80659e-05	474.877
3.3482e-05	703.29
1.79421e-05	650.304
0.000238528	145.17
3.46201e-05	722.969
7.51763e-05	291.322
3.34432e-05	473.903
1.68858e-05	624.941
2.31188e-05	586.119
2.3356e-05	540.589
0.000155301	195.924
1.24622e-05	919.385
2.88377e-05	515.218
1.53229e-05	829.496
8.28402e-06	185.582
2.85863e-05	763.969
2.75145e-05	767.678
3.3789e-05	472.812
2.85822e-05	413.136
4.43922e-05	407.521
8.9431e-05	90.8673
0.0132389	74.4294
1.32019e-05	942.015
5.0392e-05	292.002
3.99068e-05	374.65
6.89966e-06	227.481
2.30621e-06	165.42
7.1069e-06	147.605
2.24939e-05	638.509
1.58115e-05	893.835
0.000207645	204.456
3.59759e-05	425.799
0.000411662	135.147
5.95547e-05	397.985
0.000100176	251.627
1.38024e-05	852.684
6.70215e-05	587.654
1.87146e-05	621.595
1.5768e-05	662.47
7.80855e-05	819.551
1.70311e-05	745.529
6.80557e-05	261.4
0.000106235	200.241
2.46074e-05	648.756
1.82287e-05	792.479
4.12156e-05	925.81
1.51222e-05	718.306
2.17294e-05	647.047
1.64137e-05	894.2
2.66573e-05	223.973
1.25324e-05	840.804
3.70155e-05	475.714
3.95429e-05	574.101
4.22466e-05	727.883
2.07089e-05	769.068
1.83099e-05	188.692
0.00017744	405.07
1.92834e-05	858.245
2.43201e-05	513.012
5.81352e-05	568.067
1.75008e-05	705.323
1.28518e-05	944.558
1.96485e-05	617.634
1.51748e-05	806.469
4.00943e-05	718.853
9.07022e-07	147.039
5.15691e-05	350.774
4.66618e-05	408.513
2.29251e-05	749.958
2.40792e-05	730.804
8.07801e-05	339.408
0.000156311	158.544
1.47027e-05	759.986
6.3408e-05	409.373
2.77797e-05	552.774
1.68099e-05	791.934
4.99356e-07	148.379
5.29188e-05	377.813
4.0975e-05	537.879
2.52027e-05	630.981
1.86187e-05	858.855
2.42319e-05	595.187
5.70901e-05	358.724
1.43681e-05	144.189
0.00010149	480.303
6.52676e-05	513.392
5.71879e-05	472.691
3.3038e-05	124.734
1.56852e-05	686.517
3.30259e-05	448.47
2.9806e-05	570.686
1.66424e-05	673.065
2.86383e-05	882.254
2.37277e-05	775.117
2.26501e-05	655.997
7.45953e-05	261.413
1.43354e-05	728.657
2.74454e-05	768.03
0.000130462	150.903
4.19631e-05	438.442
0.000128084	214.808
2.08923e-05	768.561
4.15027e-05	351.268
2.75438e-05	731.995
0.000173635	150.43
0.00255793	98.6236
1.8312e-05	846.498
1.95333e-05	663.195
1.45403e-05	818.334
2.12222e-05	883.965
1.75506e-05	675.628
2.37608e-05	520.898
0.00622604	98.7351
4.41565e-05	155.046
1.98411e-05	717.2
1.82902e-05	745.104
7.28187e-05	287.301
6.65799e-05	269.479
3.68189e-05	848.926
1.72379e-05	761.581
2.04088e-05	693.091
0.000328611	272.454
3.05902e-05	573.222
2.62875e-05	482.296
2.29799e-05	902.539
2.10853e-05	643.489
7.85061e-05	502.554
0.000127904	196.958
1.45746e-05	845.414
1.44322e-05	812.762
2.51871e-05	769.721
5.74079e-05	393.659
6.71409e-05	364.839
1.63119e-05	807.029
1.27972e-05	909.959
3.20449e-05	637.388
3.01203e-05	605.296
1.65661e-05	721.134
5.18319e-05	386.133
1.10197e-05	865.589
2.16225e-05	645.827
0.000269242	182.685
0.000133019	198.727
1.83432e-05	851.994
3.24209e-05	485.711
8.58871e-05	375.419
1.65027e-05	740.127
0.000156758	181.954
0.00015123	178.14
3.75783e-05	445.723
1.90555e-05	885.703
1.73895e-05	711.731
1.50797e-06	188.524
1.71865e-05	692.21
3.09544e-05	814.559
4.17959e-07	128.877
7.18452e-05	821.104
2.35764e-05	565.835
2.15631e-05	580.632
2.04955e-05	628.323
9.67947e-05	259.737
4.31644e-05	408.134
1.51261e-05	786.745
1.72816e-05	767.208
1.84698e-05	822.852
0.00170013	115.503
5.67313e-05	455.244
1.33914e-05	856.433
2.54679e-05	747.252
0.000131998	352.568
2.12417e-06	178.389
3.7578e-05	663.031
2.03709e-05	871.18
1.85252e-05	577.196
3.54571e-05	756.245
4.95583e-05	379.843
1.14629e-05	921.845
3.52183e-05	411.359
1.54908e-05	145.795
2.10584e-05	700.353
1.09408e-05	942.334
0.00165954	106.453
1.43086e-05	753.829
2.14386e-05	518.322
2.32807e-05	721.972
1.09972e-06	166.207
2.41221e-05	748.026
2.70939e-05	910.876
3.94662e-05	357.751
2.88609e-05	600.597
1.90238e-05	864.02
2.2463e-05	727.636
1.22601e-05	828.508
1.37954e-05	846.611
1.10009e-05	872.653
3.8832e-05	383.743
3.699e-05	404.752
5.79371e-05	464.462
4.88836e-05	560.56
5.45984e-05	403.182
2.61301e-05	566.267
6.06138e-06	130.852
5.95243e-05	345.708
2.72504e-05	802.463
1.84084e-05	656.435
1.24502e-05	808.506
2.84237e-05	723.126
1.93572e-05	725.963
7.74932e-05	232.579
4.23715e-05	619.644
2.485e-05	524.281
2.99146e-05	800.736
8.97908e-05	326.347
0.000187141	163.926
5.19527e-05	463.016
3.88548e-05	386.015
7.46996e-05	752.331
2.9075e-05	619.953
6.00941e-05	431.589
3.22316e-05	912.583
0.000161237	272.258
6.17565e-05	228.76
0.000132393	199.17
1.54964e-05	899.843
1.33064e-05	830.214
2.05743e-05	920.769
2.54054e-05	736.649
3.45417e-05	520.891
8.90251e-05	273.088
2.65132e-05	200.798
4.11059e-05	240.254
0.000232334	255.823
2.03751e-05	786.012
1.46559e-05	831.466
0.000103491	280.975
2.01861e-06	168.492
4.63765e-05	468.89
1.71791e-05	641.138
2.88814e-05	842.923
2.80592e-05	704.389
7.53423e-05	624.375
6.67366e-05	446.632
5.26101e-05	939.436
4.01638e-05	379.319
7.98611e-05	665.602
1.66776e-05	671.779
5.53943e-05	369.091
3.31488e-05	548.505
7.08222e-05	300.348
1.3133e-05	896.109
3.94645e-05	873.919
2.63279e-05	489.853
1.35042e-05	891.797
1.32933e-05	885.507
0.00265196	82.1023
1.84809e-05	890.849
8.43316e-05	314.49
7.93839e-05	413.222
0.00153292	107.606
2.08039e-05	937.672
1.1559e-05	903.497
3.23024e-05	781.792
1.5366e-05	829.391
2.21473e-05	765.406
7.19984e-06	155.007
3.36274e-05	600.321
0.000153073	321.334
3.49938e-05	586.122
0.00010717	586.905
2.55992e-05	528.813
4.44154e-05	358.981
0.00017173	137.078
7.95428e-05	807.525
5.43119e-06	136.918
1.81295e-05	892.034
1.52738e-05	903.957
2.00451e-05	801.104
1.30302e-05	949.21
1.41567e-05	828.412
3.64407e-05	917.182
1.66416e-05	897.598
0.000166496	257.502
7.10427e-05	408.644
6.96667e-05	388.761
2.33952e-05	588.456
2.00554e-06	187.363
1.26964e-05	846.732
1.97557e-05	766.104
1.70149e-05	775.528
9.8943e-06	927.957
3.87852e-05	874.986
9.25625e-05	260.774
0.000294169	146.248
3.06042e-05	748.36
3.8145e-05	566.4
2.38333e-05	220.434
3.1834e-05	803.766
2.05076e-05	669.398
9.85698e-05	381.538
2.52738e-05	588.255
2.94628e-05	673.385
3.68388e-05	656.761
5.54162e-06	171.056
4.67142e-05	646.414
1.39398e-05	835.674
3.66733e-05	510.995
1.72035e-05	739.534
2.83276e-05	571.338
1.63143e-05	756.432
4.17986e-05	425.259
1.78275e-05	854.864
