Omega	mH1	mH2	mHc
0.00393401	545.592	721.157	694.312
0.00118982	663.886	664.276	736.503
0.00151551	401.172	437.136	509.273
0.00139058	664.038	718.811	681.36
0.000562123	297.166	384.026	441.84
0.000473163	445.515	574.956	611.547
0.000252942	350.49	722.485	480.791
0.000229312	779.159	826.91	821.693
0.000244196	467.133	564.468	498.785
0.0041309	145.324	220.639	157.469
0.00702672	736.453	925.091	862.474
0.000205948	306.811	392.938	388.614
0.00108945	378.145	442.171	452.807
0.00139439	478.035	479.906	532.011
0.000682632	732.821	895.271	876.058
0.000605818	570.007	572.949	697.596
0.000454769	685.16	841.941	890.279
0.00176209	776.959	867.858	937.867
0.00649144	885.553	913.314	926.08
1.49832e-05	125.685	512.998	393.504
0.00241434	170.024	198.055	229.62
9.31555e-05	549.299	587.899	664.04
0.00420935	700.531	700.64	755.799
0.0189335	656.136	917.434	910.165
0.0170725	838.279	973.205	970.423
0.000380149	562.928	708.121	709.195
0.0119139	531.134	562.307	536.322
0.000832826	610.648	611.589	687.198
0.000192213	551.084	680.734	770.274
0.00137038	850.623	905.131	901.677
0.000358238	650.132	682.023	688.913
0.0268279	881.487	940.81	912.779
0.000219705	650.939	712.364	683.343
0.000334758	343.592	457.156	422.228
0.000167278	339.579	609.726	417.087
0.000248159	527.607	624.331	644.881
0.000329105	834.487	945.491	878.786
0.000754978	411.127	511.678	571.039
6.24489e-05	471.647	954.445	861.466
0.00209366	104.933	629.947	435.174
0.000234616	269.866	687.26	549.253
0.0125339	392.795	854.321	952.747
0.000257039	585.647	615.892	642.149
0.00311669	347.054	715.335	642.072
0.000306779	621.112	769.206	716.275
0.00130194	460.269	485.497	502.334
0.000409891	326.656	559.51	396.559
0.00294201	723.264	763.065	778.485
0.000287017	645.157	905.219	819.863
0.000906888	550.278	676.674	715.501
0.000720703	616.966	730.046	692.897
0.00122633	488.306	519.187	547.206
0.000264951	133.905	577.274	426.73
0.000324434	422.566	503.608	497.102
0.00966907	587.038	742.381	719.889
0.00591303	249.581	737.62	742.199
7.93239e-05	455.491	532.184	592.43
0.000160129	600.279	707.901	660.955
0.00157121	449.817	457.247	503.717
0.000504004	392.079	522.935	528.061
0.000298355	562.47	816.601	721.884
0.000765193	398.724	484.233	547.458
0.00216973	874.724	965.719	905.774
2.6388e-05	156.323	753.045	706.521
0.00234511	189.404	198.552	239.307
0.000448226	668.556	868.027	769.17
0.00967146	584.839	728.375	688.591
0.000447749	369.123	783.427	704.659
0.000131627	566.347	717.808	850.912
0.000131014	201.799	726.787	647.992
0.0119043	772.791	782.974	802.418
3.16134e-05	185.68	482.484	508.506
0.000388843	665.168	753.843	801.462
9.59095e-05	342.034	570.075	496.945
0.00179789	501.728	554.214	551.452
0.000320345	804.894	926.815	905.662
0.000144583	669.466	805.249	767.408
0.000281596	624.525	636.924	671.505
0.000123977	626.987	890.373	822.444
0.000255573	408.197	922.019	826.68
0.000173858	467.055	735.33	602.766
0.000178321	479.946	661.603	592.239
0.00188221	487.511	831.08	799.673
0.00127946	390.372	409.35	489.549
2.0195e-05	245.02	852.339	891.209
0.000589655	817.033	911.248	982.477
0.000329847	887.489	911.095	985.28
0.00188942	524.904	659.469	616.887
0.00035497	340.328	783.237	788.773
0.000969039	881.996	971.948	998.778
0.000669011	717.402	739.341	754.273
0.0023109	417.002	422.368	466.654
0.00819515	786.123	923.801	865.75
0.000868274	876.605	897.811	908.827
0.000469131	375.889	683.327	645.203
0.000249053	573.774	835.888	864.176
0.000238464	593.405	636.939	679.169
0.00162344	868.395	889.649	932.052
0.00116899	490.754	762.812	785.612
0.00178218	891.379	910.203	924.517
0.000354292	891.747	989.111	946.176
0.000264405	588.088	735.785	641.614
0.000177411	460.342	867.495	810.23
0.000322121	250.994	381.318	335.302
0.000174022	589.439	649.078	707.377
0.00011048	414.564	561.345	501.46
0.000829202	656.327	867.255	887.453
0.000524461	245.193	576.534	561.361
