Omega	mMChi	mMPsi	lam12	lam13	lam123
0.120961	100	120	0.015054	2.21496	1.02723
0.120672	100	120	0.015054	1.99346	1.05102
0.12043	100	120	0.015054	1.79412	1.06776
0.120721	100	120	0.015054	1.6147	1.07611
0.120648	100	120	0.015054	1.45323	1.08383
0.120521	100	120	0.015054	1.30791	1.09019
0.120413	100	120	0.015054	1.17712	1.09533
0.120291	100	120	0.015054	1.05941	1.09901
0.12021	100	120	0.015054	0.953467	1.10169
0.120153	100	120	0.015054	0.85812	1.10367
0.120114	100	120	0.015054	0.772308	1.10515
0.120086	100	120	0.015054	0.695077	1.10628
0.120064	100	120	0.015054	0.62557	1.10714
0.120049	100	120	0.015054	0.563013	1.1078
0.120037	100	120	0.015054	0.506711	1.10831
0.120029	100	120	0.015054	0.45604	1.10872
0.120022	100	120	0.015054	0.410436	1.10903
0.120019	100	120	0.015054	0.369393	1.1093
0.120014	100	120	0.015054	0.332453	1.10952
0.120009	100	120	0.015054	0.299208	1.10967
0.120006	100	120	0.015054	0.269287	1.10977
0.120004	100	120	0.015054	0.242358	1.10985
0.120002	100	120	0.015054	0.218123	1.10991
0.120001	100	120	0.015054	0.19631	1.10996
0.12	100	120	0.015054	0.176679	1.10999
0.119038	100	120	0.0135486	3.81051	0.631344
0.12096	100	120	0.0135486	3.42946	0.797942
0.120585	100	120	0.0135486	3.08651	0.912191
0.120509	100	120	0.0135486	2.77786	0.982419
0.120558	100	120	0.0135486	2.50008	1.0231
0.120862	100	120	0.0135486	2.25007	1.05323
0.1206	100	120	0.0135486	2.02506	1.07735
0.12038	100	120	0.0135486	1.82256	1.09429
0.120678	100	120	0.0135486	1.6403	1.10289
0.120617	100	120	0.0135486	1.47627	1.11098
0.120509	100	120	0.0135486	1.32864	1.11783
0.120346	100	120	0.0135486	1.19578	1.12258
0.120258	100	120	0.0135486	1.0762	1.12617
0.120187	100	120	0.0135486	0.968581	1.12881
0.120137	100	120	0.0135486	0.871723	1.13077
0.120102	100	120	0.0135486	0.784551	1.13225
0.120077	100	120	0.0135486	0.706096	1.13336
0.120058	100	120	0.0135486	0.635486	1.13423
0.120044	100	120	0.0135486	0.571937	1.13489
0.120033	100	120	0.0135486	0.514744	1.13539
0.120026	100	120	0.0135486	0.463269	1.1358
0.120019	100	120	0.0135486	0.416942	1.13611
0.120017	100	120	0.0135486	0.375248	1.13639
0.120013	100	120	0.0135486	0.337723	1.1366
0.120008	100	120	0.0135486	0.303951	1.13675
0.120005	100	120	0.0135486	0.273556	1.13685
0.120003	100	120	0.0135486	0.2462	1.13693
0.120002	100	120	0.0135486	0.22158	1.13699
0.120001	100	120	0.0135486	0.199422	1.13703
0.12	100	120	0.0135486	0.17948	1.13707
0.119095	100	120	0.0121938	3.85658	0.641661
0.120886	100	120	0.0121938	3.47092	0.813886
0.120856	100	120	0.0121938	3.12383	0.927149
0.120636	100	120	0.0121938	2.81144	1.00021
